feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aureimonas	Group	Tumor	-0.295894820665982	0.0636110387489	308	66	7.07497537503514e-06	0.00133717034588164
Arcticibacter	Group	Tumor	-0.307766931254838	0.0809329930042509	308	134	0.000206289537526761	0.0150655515292051
Staphylococcus	Group	Tumor	1.32673622690725	0.352619933544612	308	241	0.000239135738558812	0.0150655515292051
Actinobacillus	Group	Tumor	-0.738320270589714	0.211855624682165	308	166	0.000642206436902104	0.03023350833644
Prevotella	Group	Tumor	1.1868810129265	0.346924308631356	308	172	0.000799828262868784	0.03023350833644
Afipia	Group	Tumor	-0.796183536738424	0.244437167607093	308	68	0.00138589533516632	0.043655703057739
Arcobacter	Group	Tumor	-0.872818156848707	0.29196987570726	308	206	0.0032578431670719	0.0879617655109412
Streptococcus	Group	Tumor	0.978381750990954	0.333114940638515	308	258	0.0038257772364831	0.0903839872119133
Amphibacillus	Group	Tumor	-0.186977136854763	0.0704761104324844	308	189	0.00881841839563462	0.151516461524995
Granulicatella	Group	Tumor	0.573436626494175	0.211967619312547	308	68	0.00759834490097817	0.151516461524995
Unknown.genus116	Group	Tumor	0.716586459876355	0.268508197808296	308	70	0.00843410276702412	0.151516461524995
Anoxybacillus	Group	Tumor	-0.919892133708976	0.3582501328649	308	163	0.0111944964949372	0.153970699991994
Klebsiella	Group	Tumor	-0.586203708209608	0.231164808927531	308	44	0.0122198968247615	0.153970699991994
Neisseria	Group	Tumor	0.733177937086026	0.286564060227143	308	169	0.0114830489590444	0.153970699991994
Porphyromonas	Group	Tumor	0.751930051994159	0.290740424529118	308	112	0.0106346270662471	0.153970699991994
Achromobacter	Group	Tumor	0.337119864110134	0.137711445356426	308	267	0.015495136299235	0.183036297534714
Corynebacterium	Group	Tumor	0.731619131304859	0.302796690465201	308	274	0.0168609594953677	0.187454196742617
Alishewanella	Group	Tumor	-0.598664298484661	0.253122896088049	308	185	0.0192786651819392	0.191771985230869
Azorhizobium	Group	Tumor	-0.168228232608942	0.0710063086477889	308	50	0.0190745304017379	0.191771985230869
Chryseobacterium	Group	Tumor	0.586204471196543	0.251633924499819	308	101	0.0211350780272426	0.199726487357443
Arenimonas	Group	Tumor	-0.257308526016874	0.114399063792211	308	84	0.0259259361998897	0.204166747574131
B.42	Group	Tumor	-0.163140408752175	0.072193315555805	308	236	0.0252471335426471	0.204166747574131
Lactococcus	Group	Tumor	0.840021642244891	0.369115330285668	308	117	0.0242476748417778	0.204166747574131
Rothia	Group	Tumor	0.652111615368587	0.285911102991368	308	202	0.0239395042509432	0.204166747574131
Stenoxybacter	Group	Tumor	0.363028824589443	0.163069668505977	308	49	0.0274607975764223	0.207603629677753
Azomonas	Group	Tumor	-0.128022072443958	0.0585043305109576	308	257	0.0301680934330276	0.219298833032393
Aeribacillus	Group	Tumor	-0.169768106493463	0.0797453736948912	308	206	0.0348654173871445	0.234959288404563
Alkalibacterium	Group	Tumor	-0.148423718231182	0.0700601022753174	308	238	0.0357464220915066	0.234959288404563
Amnibacterium	Group	Tumor	-0.18022274857251	0.0852125364546252	308	162	0.036051954305462	0.234959288404563
Blastococcus	Group	Tumor	0.452286921664036	0.221974404134524	308	45	0.0433166726948252	0.272895037977399
Ardenscatena	Group	Tumor	-0.17505408125556	0.0897544863106403	308	166	0.0529601736729228	0.285984937833783
Asteroleplasma	Group	Tumor	-0.131227825567049	0.066944530482069	308	106	0.0517834001467833	0.285984937833783
Capnocytophaga	Group	Tumor	0.557115540488475	0.278266827492636	308	100	0.0470421564267305	0.285984937833783
Finegoldia	Group	Tumor	0.444751290298994	0.227068517570416	308	82	0.0519702519900827	0.285984937833783
Pseudomonas	Group	Tumor	0.63208305046823	0.321526287433197	308	227	0.0511221783054458	0.285984937833783
Acetobacter	Group	Tumor	-0.152364173777585	0.0841547333888033	308	214	0.0721766216603736	0.323545186961269
Actinomadura	Group	Tumor	-0.15961328391203	0.0862390305761057	308	216	0.0661230095446574	0.323545186961269
Actinoplanes	Group	Tumor	-0.238835113377902	0.132787853565383	308	251	0.0740498126369512	0.323545186961269
Agromyces	Group	Tumor	-0.400615694019259	0.220277181737251	308	222	0.0709144305160754	0.323545186961269
Asticcacaulis	Group	Tumor	-0.327265058280693	0.181128562665482	308	249	0.0717739615658906	0.323545186961269
Balneimonas	Group	Tumor	-0.259494347448826	0.144914278180004	308	251	0.0753226890280204	0.323545186961269
Devosia	Group	Tumor	0.389079009879516	0.216610442428445	308	35	0.0744333491941062	0.323545186961269
Fusobacterium	Group	Tumor	0.466310834086985	0.253640909251826	308	132	0.0679323949778923	0.323545186961269
Leptotrichia	Group	Tumor	0.608981262155212	0.33421223670166	308	119	0.0703865792523502	0.323545186961269
Campylobacter	Group	Tumor	0.426305172911846	0.245089464427818	308	71	0.0839780417077956	0.352707775172742
Aeromonas	Group	Tumor	-0.415878015258737	0.244292753647317	308	251	0.0907158260786853	0.366696688767225
Agrobacterium	Group	Tumor	-0.296325893949312	0.174323615854244	308	275	0.0911891236616909	0.366696688767225
Unknown.genus125	Group	Tumor	0.369044365633307	0.22137907330742	308	41	0.0975552232276291	0.38412369145879
Sphaerobacter	Group	Tumor	-0.239763106497398	0.144914527032002	308	31	0.100073158593835	0.385996468861933
Aminobacter	Group	Tumor	0.322727025796519	0.205617748625823	308	266	0.118586004309966	0.415051015084879
Bacteriovorax	Group	Tumor	-0.108235586027285	0.0678428714255968	308	265	0.111658124974543	0.415051015084879
Brachybacterium	Group	Tumor	0.411088877708829	0.25793899273844	308	57	0.113057002896643	0.415051015084879
Lactobacillus	Group	Tumor	0.620830510412884	0.391989605743178	308	143	0.115305602268051	0.415051015084879
Leuconostoc	Group	Tumor	-0.373966658206858	0.237232687549716	308	69	0.117005825926169	0.415051015084879
Unknown.genus123	Group	Tumor	0.629610045352554	0.404654985529582	308	119	0.121793653839903	0.418527283195304
Cellulomonas	Group	Tumor	0.246364363934089	0.160774186815517	308	31	0.127498083192846	0.422756802165751
Haemophilus	Group	Tumor	-0.349257329592225	0.226846488935269	308	58	0.125718698619921	0.422756802165751
Arthrobacter	Group	Tumor	-0.19750383257698	0.130200675009986	308	278	0.130319597348734	0.424662136188116
Acinetobacter	Group	Tumor	-0.148733936502947	0.0998912217754335	308	294	0.13855652473083	0.433580517177005
Algoriphagus	Group	Tumor	-0.130669788184587	0.0886743307567867	308	225	0.141619400099763	0.433580517177005
Janibacter	Group	Tumor	-0.412322092139208	0.28113411837598	308	61	0.144526839059002	0.433580517177005
Rubellimicrobium	Group	Tumor	0.447766974181081	0.30530982128006	308	61	0.143512181940522	0.433580517177005
Veillonella	Group	Tumor	0.530888105666194	0.356314527484393	308	144	0.138297984813091	0.433580517177005
Alkaliphilus	Group	Tumor	0.0973685796917828	0.0672845486634829	308	248	0.149910071696939	0.442703180480022
Belnapia	Group	Tumor	-0.287976127324395	0.201436643131754	308	167	0.154867308784532	0.450306482465792
Hydrogenophilus	Group	Tumor	0.349216570697311	0.260018583799	308	50	0.181246404778146	0.519023795501055
Roseomonas	Group	Tumor	0.291512010783102	0.222526436657366	308	32	0.192155661093969	0.542051043981493
Bdellovibrio	Group	Tumor	-0.204234074791787	0.159159645986722	308	254	0.201361376941612	0.543675717742352
Comamonas	Group	Tumor	-0.177018480556331	0.136958093817538	308	32	0.198132244695227	0.543675717742352
Propionibacterium	Group	Tumor	0.531656656536978	0.41184475519793	308	141	0.198680251942132	0.543675717742352
Allobaculum	Group	Tumor	-0.27354828635643	0.214707850892744	308	259	0.204577977582502	0.544580813564687
Naxibacter	Group	Tumor	0.19020231178076	0.153070067336035	308	34	0.215922469973791	0.5667964836812
Shewanella	Group	Tumor	-0.3252847502676	0.270056914183793	308	61	0.230254621007733	0.596138676307692
Aequorivita	Group	Tumor	-0.0905164945754736	0.078814751681656	308	235	0.252566368891542	0.62349114490296
Aggregatibacter	Group	Tumor	-0.203580060733819	0.179049406071697	308	279	0.257313805832968	0.62349114490296
Aquisphaera	Group	Tumor	-0.35373339346524	0.305307491137551	308	121	0.248418959165228	0.62349114490296
Microbacterium	Group	Tumor	-0.340073273149511	0.296930802397584	308	91	0.253875422984997	0.62349114490296
Unknown.genus20	Group	Tumor	0.29348613218144	0.257488855381146	308	57	0.256150319578302	0.62349114490296
Actinomyces	Group	Tumor	-0.185522889077772	0.166148877160866	308	291	0.265038686957136	0.634079896644287
Nocardioides	Group	Tumor	-0.241617970072937	0.219713583848655	308	42	0.273192143880771	0.645416439918321
Unknown.genus39	Group	Tumor	0.234371805013242	0.224329272609262	308	32	0.296955324556497	0.684445809038754
Unknown.genus44	Group	Tumor	0.235325344256796	0.223978608168203	308	55	0.295071478743419	0.684445809038754
Unknown.genus6	Group	Tumor	0.299580079472916	0.28895936313534	308	69	0.301485802838139	0.686515864294075
Acidaminococcus	Group	Tumor	-0.0671975252340496	0.065871808990527	308	253	0.309279185388739	0.690160108699911
Azospira	Group	Tumor	-0.0641799408546385	0.0632682557310357	308	270	0.311988714857143	0.690160108699911
Stenotrophomonas	Group	Tumor	0.245954339170661	0.243494501344754	308	56	0.314041107662394	0.690160108699911
Beijerinckia	Group	Tumor	-0.0803316577814476	0.0803734345514206	308	238	0.318351814967303	0.691591873894487
Kocuria	Group	Tumor	-0.235501690063523	0.24460607383376	308	35	0.336418434017157	0.722535045786848
Azoarcus	Group	Tumor	-0.0708054601825817	0.0748694471673201	308	250	0.345038082969265	0.724579974235456
Streptomyces	Group	Tumor	0.196414020554847	0.206081095211037	308	36	0.342047315141266	0.724579974235456
Bergeyella	Group	Tumor	-0.11629182855127	0.123981503255513	308	243	0.349734420706486	0.726371489159625
Atopostipes	Group	Tumor	0.0684596489408185	0.076774307269975	308	245	0.373953736136624	0.75997049601959
Enterobacter	Group	Tumor	0.235239477353277	0.263116533536989	308	86	0.372699071229031	0.75997049601959
Anaerofilum	Group	Tumor	0.0611110450086902	0.069721746514148	308	237	0.382132881246637	0.768331005910791
Sphingobacterium	Group	Tumor	-0.171193476307936	0.20547602343368	308	32	0.405406865955012	0.806546291215761
Janthinobacterium	Group	Tumor	0.182207041590709	0.22338166532727	308	39	0.415319975602211	0.817661201966852
A17	Group	Tumor	-0.058480395098283	0.073245656244014	308	255	0.425249191193656	0.828578320985576
Acetobacterium	Group	Tumor	-0.0570949137126065	0.082465818583755	308	204	0.489769248347567	0.842327909219046
Adhaeribacter	Group	Tumor	-0.185078184471868	0.262800421818702	308	235	0.481810360063463	0.842327909219046
Anaerospora	Group	Tumor	-0.0600856953719709	0.0815660048031557	308	208	0.462462523398609	0.842327909219046
Anaerovorax	Group	Tumor	0.102245199029631	0.143694330626138	308	251	0.477829107190725	0.842327909219046
Ancylobacter	Group	Tumor	-0.0443709187212473	0.0593596345456462	308	272	0.455913241539599	0.842327909219046
Caulobacter	Group	Tumor	-0.113235818506099	0.155727513910136	308	36	0.467695676590722	0.842327909219046
Clostridium.XI	Group	Tumor	0.161191804732717	0.21352554420103	308	33	0.450885742455269	0.842327909219046
Dietzia	Group	Tumor	0.240147346262025	0.3394086959627	308	92	0.480303458763221	0.842327909219046
Enterococcus	Group	Tumor	0.128725549737867	0.175869210753425	308	34	0.465325411312534	0.842327909219046
Gemella	Group	Tumor	0.191410744655319	0.275987804281465	308	110	0.489017382081346	0.842327909219046
Mesorhizobium	Group	Tumor	-0.161086189901809	0.229720839343954	308	40	0.48369499783954	0.842327909219046
Mycobacterium	Group	Tumor	-0.239930518212963	0.346926600420304	308	57	0.490243756688334	0.842327909219046
Unknown.genus81	Group	Tumor	-0.135217613356154	0.194194388586756	308	37	0.487297080352837	0.842327909219046
Abiotrophia	Group	Tumor	-0.126786343889039	0.188214456525334	308	136	0.501564820634362	0.854015775674724
Actinobaculum	Group	Tumor	-0.113272334337307	0.170618438828006	308	244	0.507758184610705	0.856841936530565
Acetivibrio	Group	Tumor	-0.0534321328621433	0.0891303461615874	308	169	0.549737511999041	0.869161515052781
Agrococcus	Group	Tumor	-0.0446437485802134	0.0837872842189726	308	217	0.594929505530075	0.869161515052781
Alkalibacter	Group	Tumor	-0.0337978026524932	0.0672960654132641	308	196	0.616230915434247	0.869161515052781
Alkanindiges	Group	Tumor	-0.0901751330793234	0.163068621274578	308	259	0.581078103783432	0.869161515052781
Anaerococcus	Group	Tumor	-0.156227736619281	0.279745430668351	308	265	0.577343989784341	0.869161515052781
Arcicella	Group	Tumor	-0.0465248508020812	0.0844525691500115	308	218	0.582506324164407	0.869161515052781
Armatimonas.Armatimonadetes_gp1	Group	Tumor	-0.0452137333504002	0.0792568736439926	308	243	0.569195249092197	0.869161515052781
Bacillus	Group	Tumor	-0.161071666564585	0.255346677382077	308	226	0.529115037782454	0.869161515052781
Barnesiella	Group	Tumor	-0.113940747259407	0.186027810244659	308	271	0.540666456634564	0.869161515052781
Bellilinea	Group	Tumor	0.0368775369366164	0.0603011783364402	308	269	0.54128574203824	0.869161515052781
Bosea	Group	Tumor	-0.184434144512671	0.334219363950125	308	88	0.581463766503351	0.869161515052781
Friedmanniella	Group	Tumor	-0.111030908957198	0.220302332682576	308	34	0.614991014686577	0.869161515052781
Kaistobacter	Group	Tumor	-0.1201119471983	0.226018411698324	308	49	0.595509502214235	0.869161515052781
Lautropia	Group	Tumor	0.144563885316559	0.247167172038937	308	80	0.559487908971378	0.869161515052781
Novosphingobium	Group	Tumor	-0.120469578663673	0.187922985079677	308	42	0.521964662627495	0.869161515052781
Paracoccus	Group	Tumor	0.225276248875542	0.441455890710721	308	190	0.61057464736338	0.869161515052781
Peptoniphilus	Group	Tumor	0.126266395544704	0.249810332271849	308	91	0.613970843620093	0.869161515052781
Rhizobium	Group	Tumor	0.136337645601838	0.2176638929966	308	41	0.531540718562449	0.869161515052781
Tessaracoccus	Group	Tumor	0.0994881863434784	0.182842337927135	308	45	0.587150912211156	0.869161515052781
