taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Ochrobactrum,0.40888300696405905,-0.42504451454627845,0.34716326982577583,0.02079977701073222,1.1777830274765453,-20.435051506896684,0.2499737602723334,4.069206239049661e-17,0.3613906362794306,5.147545892397821e-15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-0.42504451454627845,5.147545892397821e-15,TRUE,FALSE,TRUE,FALSE,NAT_enriched,ns
Unknown genus24,-0.37893322687485476,0.4284336658846825,0.19182646630962272,0.0207865148778862,-1.975395961593888,20.611135074907292,0.0593615875244381,3.321867555089185e-17,0.1135428170079715,5.147545892397821e-15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.4284336658846825,5.147545892397821e-15,TRUE,FALSE,TRUE,FALSE,Tumor_enriched,ns
Citrobacter,-0.10504756858577195,-0.3599692528460636,0.34036979693811253,0.020798127075173773,-0.3086277617190345,-17.30777254821903,0.7613546911328801,3.133151001857463e-12,0.863779089043133,2.642290678233127e-10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-0.3599692528460636,2.642290678233127e-10,TRUE,FALSE,TRUE,FALSE,NAT_enriched,ns
Microbacterium,0.16497018531673474,-0.7044779217828158,0.18210403488285223,0.2339804578447857,0.9059117521633185,-3.0108408551373183,0.3674285936245876,0.0033900698498679437,0.4997819042312938,0.21442191800414745,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.7044779217828158,0.21442191800414745,FALSE,FALSE,FALSE,FALSE,ns,ns
Bosea,0.3614522719907777,-0.5519642698056124,0.20655938612021385,0.24825507308461214,1.7498709634062282,-2.223375590868541,0.08375223946047453,0.030478648292038685,0.14613321781724176,0.8529845993548407,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5519642698056124,0.8529845993548407,FALSE,FALSE,FALSE,FALSE,ns,ns
Brevundimonas,0.45376901130496267,-0.5967500960990035,0.22121115552441564,0.25259761290122384,2.051293526446405,-2.362453426400184,0.04452468836829953,0.02579819327458012,0.09011796925743824,0.8529845993548407,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5967500960990035,0.8529845993548407,FALSE,FALSE,FALSE,FALSE,ns,ns
Escherichia/Shigella,0.1798302322538219,-0.6070942209996961,0.19946007823515374,0.2549980004160769,0.9015850883293587,-2.3807803198813655,0.3694877827657018,0.019209444632597047,0.4998952355065378,0.8529845993548407,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.6070942209996961,0.8529845993548407,FALSE,FALSE,FALSE,FALSE,ns,ns
Roseomonas,-0.7698212827517554,1.2705455167685082,0.4331408597489174,0.571948720677441,-1.7773000755412558,2.2214325704997098,0.08565973986946014,0.03401364061243242,0.1484377684039275,0.8529845993548407,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.2705455167685082,0.8529845993548407,FALSE,FALSE,FALSE,FALSE,ns,ns
Stenotrophomonas,-0.7938061418182782,0.5779013395143788,0.23196407177366582,0.23135941576679406,-3.42210815558031,2.497850963182292,0.0014729067631141645,0.03708628692847134,0.0036179166123095495,0.8529845993548407,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5779013395143788,0.8529845993548407,FALSE,FALSE,FALSE,FALSE,ns,ns
Tepidimonas,-1.2758245770561005,1.2410498478693488,0.4174071894674666,0.5074503206566416,-3.0565467228387075,2.4456578257028747,0.008538146211698015,0.028279040709498465,0.019116380456279627,0.8529845993548407,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.2410498478693488,0.8529845993548407,FALSE,FALSE,FALSE,FALSE,ns,ns
Unknown genus19,-1.2068281028557866,1.2353611650781129,0.3656959688867245,0.4569131600733573,-3.300085878796234,2.703711061593796,0.004376451983002968,0.021589636508485378,0.010252243997219915,0.8529845993548407,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.2353611650781129,0.8529845993548407,FALSE,FALSE,FALSE,FALSE,ns,ns
Klebsiella,0.33858824950739935,-0.8294884770986787,0.26356473139606046,0.36784827913770585,1.2846493068854519,-2.254974466764205,0.2060907870217244,0.042599313670558706,0.3067115830382134,0.8981355298876127,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.8294884770986787,0.8981355298876127,FALSE,FALSE,FALSE,FALSE,ns,ns
