feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,significant,direction
Aureimonas,Group,Tumor,-0.271735848918466,0.0596600088734018,308,66,1.06460338163762e-5,0.00269344655554319,TRUE,NAT_enriched
Staphylococcus,Group,Tumor,1.33021764194603,0.352657824231496,308,241,2.3098656897651e-4,0.0292198009755295,TRUE,Tumor_enriched
Arcticibacter,Group,Tumor,-0.281106793500884,0.0768191668865727,308,134,3.4750474950663e-4,0.0293062338750596,TRUE,NAT_enriched
Actinobacillus,Group,Tumor,-0.740714964098672,0.214667564711571,308,166,7.2330633220497e-4,0.0403582298040508,TRUE,NAT_enriched
Prevotella,Group,Tumor,1.18575191881926,0.346511260265473,308,172,7.9759347438835e-4,0.0403582298040508,TRUE,Tumor_enriched
Afipia,Group,Tumor,-0.796217165927084,0.243882318384974,308,68,0.00135184990141358,0.0570030041762728,FALSE,ns
Arcobacter,Group,Tumor,-0.856301857405917,0.291274220171658,308,206,0.00379348476781328,0.119968955782095,FALSE,ns
Streptococcus,Group,Tumor,0.979540766375516,0.331010152462604,308,258,0.00357487720074177,0.119968955782095,FALSE,ns
Granulicatella,Group,Tumor,0.567721071150256,0.209847812217949,308,68,0.00759635307968184,0.191873118635015,FALSE,ns
Unknown.genus116,Group,Tumor,0.715817252824176,0.267833752325676,308,70,0.0083423095058702,0.191873118635015,FALSE,ns
WAL_1855D,Group,Tumor,0.365703059345381,0.135662182137337,308,20,0.00781068213213307,0.191873118635015,FALSE,ns
Achromobacter,Group,Tumor,0.351061323978518,0.138078466699998,308,267,0.0120006207734042,0.194718858919016,FALSE,ns
Anoxybacillus,Group,Tumor,-0.909329610124061,0.35812571259061,308,163,0.0121110706533075,0.194718858919016,FALSE,ns
Klebsiella,Group,Tumor,-0.585211202884256,0.231029450717211,308,44,0.012314236137171,0.194718858919016,FALSE,ns
Neisseria,Group,Tumor,0.750703250034579,0.289258973674552,308,169,0.0103716399079371,0.194718858919016,FALSE,ns
Porphyromonas,Group,Tumor,0.748915640841955,0.289037429936356,308,112,0.0104934383317861,0.194718858919016,FALSE,ns
Amphibacillus,Group,Tumor,-0.164153276404936,0.0670177183582653,308,189,0.0154379749782635,0.216989314972259,FALSE,ns
Corynebacterium,Group,Tumor,0.742540767662686,0.30219672068160103,308,274,0.0151218339764301,0.216989314972259,FALSE,ns
Alishewanella,Group,Tumor,-0.595199394478219,0.258175874925567,308,185,0.0224876483412907,0.252234926537378,FALSE,ns
Azorhizobium,Group,Tumor,-0.153891738513172,0.0675208921872829,308,50,0.0240396634599693,0.252234926537378,FALSE,ns
Chryseobacterium,Group,Tumor,0.628132727100814,0.26669297789334,308,101,0.0197783502199281,0.252234926537378,FALSE,ns
Jan.68,Group,Tumor,0.260194810457677,0.11265439907443,308,24,0.0222435021036062,0.252234926537378,FALSE,ns
Lactococcus,Group,Tumor,0.83395046009302,0.366322963931678,308,117,0.0242002008212091,0.252234926537378,FALSE,ns
Limnohabitans,Group,Tumor,-0.412744385280634,0.18194132613244,308,25,0.023991647494977,0.252234926537378,FALSE,ns
Rothia,Group,Tumor,0.653383150959631,0.289188819919819,308,202,0.0252729895091936,0.252234926537378,FALSE,ns
Stenoxybacter,Group,Tumor,0.366933051694589,0.163132913841286,308,49,0.025921375849691,0.252234926537378,FALSE,ns
Unknown.genus63,Group,Tumor,0.312647918432506,0.141239162457055,308,23,0.0275931611740501,0.254529451076321,FALSE,ns
Xanthomonas,Group,Tumor,0.312772377258241,0.141821059468773,308,22,0.0281692673127944,0.254529451076321,FALSE,ns
Arenimonas,Group,Tumor,-0.252493836584044,0.11854950591102,308,84,0.034782808804647,0.303450021640541,FALSE,ns
