feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,significant,direction
Prevotella,Group,Tumor,1.20012643090466,0.349009620257498,308,172,7.5333797139322e-4,0.0399269124838411,TRUE,Tumor_enriched
Staphylococcus,Group,Tumor,1.26309932380839,0.349242777946857,308,241,4.0466667977551e-4,0.0399269124838411,TRUE,Tumor_enriched
Anaerococcus,Group,Tumor,0.96746231662165,0.325188300031303,308,149,0.00340506232939813,0.120312202305401,FALSE,ns
Granulicatella,Group,Tumor,0.563398477149349,0.200121892278908,308,68,0.00551531126980862,0.127358371118694,FALSE,ns
Streptococcus,Group,Tumor,0.893704001312339,0.326676439639651,308,258,0.00695997681105918,0.127358371118694,FALSE,ns
Unknown.genus116,Group,Tumor,0.73975703504898,0.271611725834785,308,70,0.00720896440294493,0.127358371118694,FALSE,ns
Afipia,Group,Tumor,-0.780994553457264,0.298430637920673,308,41,0.00976057376289058,0.131847017176183,FALSE,ns
Klebsiella,Group,Tumor,-0.599843020995848,0.23714933737884,308,44,0.0124383978468098,0.131847017176183,FALSE,ns
Neisseria,Group,Tumor,0.727887176617672,0.28480198384949,308,169,0.0115702762348604,0.131847017176183,FALSE,ns
Porphyromonas,Group,Tumor,0.762881573214586,0.295110554043788,308,112,0.0106697853048557,0.131847017176183,FALSE,ns
Alloiococcus,Group,Tumor,0.521875509940569,0.224260565435982,308,56,0.0212713590167096,0.204978550524656,FALSE,ns
Chryseobacterium,Group,Tumor,0.569480654070719,0.252662811975594,308,101,0.0256218758005646,0.208916833450757,FALSE,ns
Lactococcus,Group,Tumor,0.820172587886784,0.362637609577954,308,117,0.0251256421830898,0.208916833450757,FALSE,ns
Rothia,Group,Tumor,0.622157245450755,0.283789587081826,308,202,0.0298672685180906,0.213374275978849,FALSE,ns
Stenoxybacter,Group,Tumor,0.382758674048305,0.174943855933521,308,49,0.0301944730158749,0.213374275978849,FALSE,ns
Corynebacterium,Group,Tumor,0.637611114103496,0.303011810021573,308,274,0.0369920300740103,0.245072199240318,FALSE,ns
Blastococcus,Group,Tumor,0.493785687754089,0.242835377413871,308,45,0.0437386928412465,0.25757230228734,FALSE,ns
Capnocytophaga,Group,Tumor,0.578924894818853,0.283046702278852,308,100,0.0425351074015591,0.25757230228734,FALSE,ns
Finegoldia,Group,Tumor,0.464948408783094,0.236277064204849,308,82,0.0508977132067895,0.283955663153668,FALSE,ns
