taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Staphylococcus,9.831526181256107e-5,0.01759748160457232,5.481003958023468e-4,0.0969091770261733,10.793370236939829,10.373219655453436,11.014973284552218,0.7971336267213252,6.917839762525885,0.13159086611813448,0.40911817667789196,0.01759748160457232,TRUE,Tumor_enriched
Prevotella,3.41990673778542e-4,0.03060816530317951,0.0034354288336249806,0.1457804166769653,8.6761953654028,2.594254690656822,10.215150184404314,0.890206992814849,8.974046618942703,0.1255820181581556,0.3951209761703793,0.03060816530317951,TRUE,Tumor_enriched
Streptococcus,0.0011100400965084918,0.06623239242500667,0.0030711632882030916,0.1404505227346843,11.964078560865659,11.607239114372206,12.224382482020747,0.7188460902646385,4.895694547276768,0.1338374889846421,0.4054000003270402,0.06623239242500667,FALSE,ns
Klebsiella,0.017034640073314046,0.6328856774997506,0.006314131344417512,0.09438309129219655,-1.1907068848472395,-0.9050639810851839,-1.4772687988146416,-0.6388071694226287,4.855020776866296,-0.10650558831575874,0.3866000003984978,0.09438309129219655,FALSE,ns
Afipia,0.012801865153548617,0.5698295713591265,0.01435232190994615,0.13026979671095018,-2.1402167326800594,-1.8061968320572683,-2.426820601526006,-0.6599119410147294,5.47761789383938,-0.09370018983893966,0.4044000003307582,0.13026979671095018,FALSE,ns
Corynebacterium,0.004088293467470125,0.1629470517730437,0.0023308444138971773,0.1381928336572799,12.292273948637124,11.74933841949008,12.515360530142175,0.7164864100159223,3.689761693179948,0.14843982750008256,0.39912017631520214,0.1381928336572799,FALSE,ns
Sphaerobacter,0.036236585255197004,0.7420881765240909,0.019680684029912836,0.14490493888377673,-1.973614082663281,-1.697307701066869,-2.2766207429863377,-0.5683849860581116,4.06150667740949,-0.09876026333045497,0.40060000034496707,0.14490493888377673,FALSE,ns
Limnohabitans,0.01969910072268469,0.5954697780738095,0.02080177607976946,0.14606831433994988,-2.230190938768251,-1.9846406296932715,-2.454188994430311,-0.4920031550845625,3.9683358753834304,-0.08694084559701484,0.4210000002700752,0.14606831433994988,FALSE,ns
Comamonas,0.0655274751935364,0.8291350386101493,0.021129987221234,0.14716489458475823,-1.4725868377408178,-1.2192477887649051,-1.756663835446524,-0.523997366773501,3.611387396137096,-0.10097302947705677,0.39940000034948075,0.14716489458475823,FALSE,ns
Haemophilus,0.06101402091736219,0.874546048624661,0.017529337968195797,0.14741203113398724,-0.8998094316577214,-0.6911501213098141,-1.144376138093044,-0.5255781091032228,7.1370902511753656,-0.08174129150203421,0.40351929647467827,0.14741203113398724,FALSE,ns
