taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,significant,direction
Abiotrophia,-0.10131981229960291,0.0459670745431582,0.28793958485202364,0.38863034395270224,-0.351878719112805,0.1182796846886268,0.7252089784301495,0.9060356414641859,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0459670745431582,1,FALSE,ns
Achromobacter,0.1577793847541543,-0.12902862879045773,0.2535657145659435,0.3283523721550283,0.622242581274218,-0.39295780914760114,0.5343770059534482,0.6949547151369652,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.12902862879045773,1,FALSE,ns
Acidovorax,-0.04591290903069736,0.11761771077559066,0.2946718133398402,0.4104751642643764,-0.15581031830060635,0.2865403829885214,0.8762920706071999,0.7746710073052001,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.11761771077559066,1,FALSE,ns
Acinetobacter,-0.23877818909636528,0.07750836586407706,0.2819673947617438,0.36934224161014956,-0.8468290785823926,0.20985513470156814,0.3977725017403171,0.8340599252272275,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.07750836586407706,1,FALSE,ns
Actinomyces,-0.26751292961669476,0.15561452892828892,0.31832642459527194,0.4443928691693186,-0.8403729912049158,0.3501733257312868,0.4013575844141193,0.7264503218241561,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.15561452892828892,1,FALSE,ns
Adhaeribacter,-0.10158921487033001,0.32804908552644324,0.23803475390276044,0.3298678307023765,-0.4267831197112932,0.9944864427305303,0.669904595026837,0.3209476746607501,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.32804908552644324,1,FALSE,ns
Aerococcus,-0.30946336344539443,0.2188787145621371,0.3161528309319339,0.428104339725829,-0.9788410324626203,0.5112742251160398,0.32843675032537334,0.6098960838502838,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2188787145621371,1,FALSE,ns
Aeromonas,-0.31908704075924993,0.28171159285789865,0.3177124892300011,0.44402992559923676,-1.0043264006793693,0.6344428080555994,0.31602004521241633,0.5262690229134265,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.28171159285789865,1,FALSE,ns
Afipia,0.7284628517651827,-1.2018779397944113,0.34064262840089976,0.4461016859642905,2.138495863494396,-2.6941793263938014,0.03348066722612863,0.008031572473715736,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.2018779397944113,1,FALSE,ns
Aggregatibacter,-0.15234219339888824,0.18508387175862445,0.28370428925921254,0.36010475282166815,-0.5369752914087863,0.5139723103023917,0.5917220891848002,0.608031847395623,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.18508387175862445,1,FALSE,ns
