feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	Group	Tumor	1.53210513590747	0.408834803532647	308	308	0.000252623901620467	0.0452196783900636
Afipia	Group	Tumor	-1.71343897577579	0.500321947705891	308	308	0.000790271399054343	0.056227438265257
Limnohabitans	Group	Tumor	-1.38954934428923	0.412271869349997	308	308	0.000950001125651667	0.056227438265257
Prevotella	Group	Tumor	1.61150820753231	0.490283842039804	308	308	0.00125647906738004	0.056227438265257
Phenylobacterium	Group	Tumor	-1.12066623853121	0.351163362357784	308	308	0.00171899001807188	0.0615398426469733
Klebsiella	Group	Tumor	-1.41099997365743	0.458388163384164	308	308	0.00246888238966481	0.0736549912916667
Sphaerobacter	Group	Tumor	-1.25499129612237	0.438035219586463	308	308	0.00475616729142513	0.114316779310857
Streptococcus	Group	Tumor	0.86464265760855	0.304337260421552	308	308	0.00510912980160253	0.114316779310857
Pantoea	Group	Tumor	-1.14650622487138	0.411866740469685	308	308	0.00605290482810549	0.120385551581209
Anaerococcus	Group	Tumor	1.28034295044731	0.521231442544033	308	308	0.0151527232911824	0.202928768638707
Comamonas	Group	Tumor	-0.993789888997597	0.403621453881436	308	308	0.0149191761309895	0.202928768638707
Corynebacterium	Group	Tumor	0.6762479777386	0.283274385104799	308	308	0.0181957037920677	0.202928768638707
Erwinia	Group	Tumor	-1.08478911663853	0.445576335233261	308	308	0.0160597744811776	0.202928768638707
Gluconacetobacter	Group	Tumor	-0.877230054226866	0.343449179290995	308	308	0.011620984778957	0.202928768638707
Haemophilus	Group	Tumor	-1.12778711630302	0.457652016124048	308	308	0.0148351766438895	0.202928768638707
Treponema	Group	Tumor	-0.881218754178521	0.372571363601523	308	308	0.0192725646193185	0.202928768638707
Unknown.genus5	Group	Tumor	-1.02081716503505	0.425003449410516	308	308	0.0175090976988535	0.202928768638707
Unknown.genus10	Group	Tumor	-0.883534377037384	0.383092170321817	308	308	0.0224348247028113	0.223101867877957
