taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,significant,direction
Staphylococcus,-0.5825342636074278,1.194179362044051,0.30994579071047934,0.419433644025624,-1.8794714465136053,2.8471234462324064,0.06113027391316493,0.004709959485636651,1,0.49925570547748505,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.194179362044051,0.49925570547748505,FALSE,ns
Prevotella,-0.5259587759911709,1.0810283868115373,0.3116183972474606,0.41039383219234504,-1.6878296680715534,2.634124350837896,0.092472860508477,0.009302443544567643,1,0.9767565721796025,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.0810283868115373,0.9767565721796025,FALSE,ns
Abiotrophia,0.046901875403220314,0.02619595367597678,0.31204454604606674,0.4185966983911823,0.15030506380424366,0.06258041159105471,0.8806284079879261,0.9501869000777894,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.02619595367597678,1,FALSE,ns
Acidovorax,-0.030449175891852025,0.254718003941102,0.32674980895440237,0.44495004332871807,-0.0931880449732755,0.572464274945407,0.9258176428573794,0.5674449818997707,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.254718003941102,1,FALSE,ns
Acinetobacter,-0.10975352079201194,0.24861787641322033,0.35236358781619664,0.45929056812933117,-0.3114780430980929,0.5413084736876467,0.7556535311128432,0.5890822997390108,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.24861787641322033,1,FALSE,ns
Actinomyces,-0.08412827214993296,0.19736737912906205,0.34453182546702965,0.46946525174493997,-0.2441814251437962,0.42040891928736734,0.8072539550933467,0.6747766164529845,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.19736737912906205,1,FALSE,ns
Aerococcus,-0.17855067675348285,0.40034848536435624,0.3403623887198786,0.45256167559908,-0.5245899155456677,0.8846274595266902,0.6002519182720769,0.3777437920453477,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.40034848536435624,1,FALSE,ns
Aeromonas,-0.10738855075185101,0.2438879363328973,0.33968597054899113,0.46298245090999474,-0.3161406712743908,0.5267757683979902,0.752111270836318,0.5987309577824363,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2438879363328973,1,FALSE,ns
Afipia,0.5985926234013593,-0.9869468845657219,0.3572302449074608,0.47282363297535324,1.6756493380240594,-2.0873467731617557,0.09500991326062394,0.03868768530743268,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.9869468845657219,1,FALSE,ns
Aggregatibacter,-0.01163626648690345,0.15131292674933164,0.3175948364483625,0.3992037563333018,-0.03663871433500268,0.37903683106377883,0.9707991358620222,0.7051948187031725,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.15131292674933164,1,FALSE,ns
Agrobacterium,0.07392325999943218,-0.08135230967622731,0.35272798451361437,0.46328717752054177,0.20957582966196134,-0.17559801700451813,0.834141444975638,0.8608460507506396,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.08135230967622731,1,FALSE,ns
Alloiococcus,-0.29321256931340567,0.811593104675389,0.3587355249852151,0.4476690918818578,-0.8173502452133508,1.812930844217346,0.4144603531217248,0.07197154652309969,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.811593104675389,1,FALSE,ns
Anaerococcus,-0.47151238896101655,0.9721356127512292,0.3425083563544066,0.45244656298710806,-1.3766449203742186,2.1486197316497884,0.169638480738241,0.03323786467226832,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.9721356127512292,1,FALSE,ns
Anoxybacillus,0.05215023064375255,0.0593550732731929,0.30158651362702593,0.40593122416301225,0.17291963760769188,0.14621953114244132,0.8628391091336771,0.8839689280778754,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0593550732731929,1,FALSE,ns
Arthrobacter,0.07545574402953713,-0.006176026919589709,0.35077369552853005,0.47676402000859336,0.21511232168034664,-0.012954054124047345,0.8298336172127913,0.9896821608637065,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.006176026919589709,1,FALSE,ns
Bacillus,-0.2506358641859495,0.5303825632010944,0.3746146368218107,0.4919978933392539,-0.6690498436268176,1.0780179557300922,0.5039756832904155,0.2827224254196341,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5303825632010944,1,FALSE,ns
Blastococcus,-0.3356270463921846,0.7287963660440898,0.3410399369638094,0.4489395775108581,-0.9841282794624747,1.6233729493953182,0.32591695571792334,0.1067106008416851,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.7287963660440898,1,FALSE,ns
Bosea,0.13605439521391266,-0.24299795559862922,0.3554083752215351,0.47709602742779683,0.3828114493056234,-0.5093271409295149,0.7021261711807079,0.6112567366608805,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.24299795559862922,1,FALSE,ns
Brachybacterium,-0.2530346789658085,0.6909733355706721,0.33936402788261955,0.4646020283877824,-0.7456143202464849,1.4872370186768702,0.45651064893178506,0.13906521298902924,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.6909733355706721,1,FALSE,ns
Brevibacterium,0.05498986894459411,-0.08086890305999364,0.3609447570589751,0.4393614056802394,0.15234982048959161,-0.18406009725589964,0.8790215297737038,0.8542100313391793,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.08086890305999364,1,FALSE,ns
Brevundimonas,-0.11963745095730663,0.387790673428191,0.3767545853646097,0.5193210281194914,-0.3175474316829502,0.7467263069096512,0.7510521395832168,0.45582148239756326,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.387790673428191,1,FALSE,ns
Campylobacter,-0.18192048828403848,0.47492174476255933,0.3186641963199123,0.4330351604944446,-0.5708846189341129,1.0967279059286736,0.5685052340242601,0.27363991551875083,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.47492174476255933,1,FALSE,ns
Capnocytophaga,-0.3313840282881223,0.7066891866276348,0.35283140264892665,0.46778945926181487,-0.9392135331498686,1.510699252913502,0.34837094714377126,0.1329254082954498,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.7066891866276348,1,FALSE,ns
Cardiobacterium,0.03680532421919015,0.04459400105985467,0.2869366452077947,0.3744137265360803,0.12826986316974728,0.11910354214953543,0.898023116354869,0.9053516804805004,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.04459400105985467,1,FALSE,ns
Caulobacter,0.18989083622933836,-0.16261239784072673,0.33340665784169055,0.4573072906182421,0.569547223377594,-0.3555867163650246,0.5694497654901469,0.7224226931767121,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.16261239784072673,1,FALSE,ns
Cellulomonas,-0.13437310440399108,0.509331390212678,0.31911677973475316,0.4277805096676715,-0.42107815363291373,1.1906372045990612,0.6740314576606802,0.23585624826815885,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.509331390212678,1,FALSE,ns
Chryseobacterium,-0.38774733127965527,0.8046054973885072,0.341825169922739,0.4438617846323863,-1.1343440021321305,1.8127388417880914,0.2575582670938545,0.07183243018917874,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.8046054973885072,1,FALSE,ns
Cloacibacterium,0.15346262399947935,-0.13688917281432492,0.3239056499521823,0.4284269028866819,0.4737880429752763,-0.31951581913270244,0.6360090908238518,0.7497832212264504,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.13688917281432492,1,FALSE,ns
