feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Afipia	Group	Tumor	-1.7417261028679	0.488884723339429	308	308	0.000489848034782222	0.0259619458434578
Staphylococcus	Group	Tumor	1.41762632243568	0.396483421962437	308	308	0.000468182780089337	0.0259619458434578
Klebsiella	Group	Tumor	-1.45201801268924	0.449480447708088	308	308	0.00151320558360707	0.0534665972874499
Prevotella	Group	Tumor	1.25560242201093	0.413653543998731	308	308	0.00282401594385905	0.0598691380098119
Sphaerobacter	Group	Tumor	-1.27587626212155	0.415544560304196	308	308	0.00253043113875178	0.0598691380098119
Streptococcus	Group	Tumor	1.33673853133294	0.47885929370573	308	308	0.00591551763818962	0.104507478274683
Comamonas	Group	Tumor	-1.0437324119803	0.397132128708267	308	308	0.00945943363134638	0.12533749561534
Haemophilus	Group	Tumor	-1.15345348309895	0.433045844175697	308	308	0.00855925669195178	0.12533749561534
Leuconostoc	Group	Tumor	-1.02023218373672	0.431261848068701	308	308	0.0192497058555241	0.22671875785395
Anaerococcus	Group	Tumor	1.10641029652145	0.491809893694723	308	308	0.0258965468762926	0.269169702130641
Corynebacterium	Group	Tumor	0.563440852485705	0.255015114532343	308	308	0.0286298539300536	0.269169702130641
Janibacter	Group	Tumor	-0.999186297159032	0.470784068916032	308	308	0.0354152052022268	0.269169702130641
Mycobacterium	Group	Tumor	-1.07708520497984	0.507867048620517	308	308	0.035550715375745	0.269169702130641
Shewanella	Group	Tumor	-1.08169735454593	0.506462479754372	308	308	0.0342879030988075	0.269169702130641
Kaistobacter	Group	Tumor	-0.943137215415337	0.485171305693658	308	308	0.0537391496084259	0.316463881027397
Kingella	Group	Tumor	-0.749193454188494	0.381165704493554	308	308	0.0511631257619358	0.316463881027397
Neisseria	Group	Tumor	0.957822534840326	0.489834950851635	308	308	0.0523580369210085	0.316463881027397
Nocardioides	Group	Tumor	-0.971903187797054	0.49112122369075	308	308	0.0496167785319579	0.316463881027397
Caulobacter	Group	Tumor	-0.861332577269984	0.498338011290136	308	308	0.0859320971776686	0.346762592138732
Chryseobacterium	Group	Tumor	0.863333054819288	0.484077697328799	308	308	0.0764939271519267	0.346762592138732
Friedmanniella	Group	Tumor	-0.751612937963864	0.402606333664007	308	308	0.0638335142307795	0.346762592138732
Lactococcus	Group	Tumor	0.927637193064871	0.524117334399744	308	308	0.0787350388938249	0.346762592138732
Porphyromonas	Group	Tumor	0.911429547254345	0.528691415298162	308	308	0.0867394778830392	0.346762592138732
Rothia	Group	Tumor	0.649258827444391	0.378524352157818	308	308	0.0883263206391109	0.346762592138732
Sphingobacterium	Group	Tumor	-0.778568539380965	0.437660004440851	308	308	0.0762431167031273	0.346762592138732
Unknown.genus116	Group	Tumor	0.899714178749485	0.512560884443863	308	308	0.0812040511314397	0.346762592138732
Unknown.genus81	Group	Tumor	-0.776134403866439	0.425652768203123	308	308	0.0701948330067056	0.346762592138732
Cloacibacterium	Group	Tumor	-0.749090892689457	0.450922936810275	308	308	0.0987131693824903	0.348786531818132
Enterococcus	Group	Tumor	-0.574079911514507	0.339360134544335	308	308	0.0927477361714908	0.348786531818132
Kocuria	Group	Tumor	-0.79626303778316	0.478282276448264	308	308	0.0979913604930026	0.348786531818132
Alloiococcus	Group	Tumor	0.748699199170265	0.468035219875594	308	308	0.111736042831724	0.382065178714926
Novosphingobium	Group	Tumor	-0.743989105269367	0.475348798475508	308	308	0.118582786888916	0.382591282037926
Serratia	Group	Tumor	-0.646044938612288	0.412200357765752	308	308	0.119108606672184	0.382591282037926
Mesorhizobium	Group	Tumor	-0.702512274315415	0.480673739678856	308	308	0.144900061479541	0.451747250495039
Abiotrophia	Group	Tumor	-0.664418993430737	0.461381468419907	308	308	0.151892261942981	0.460016564741598
Gardnerella	Group	Tumor	-0.593535980605515	0.449247684063615	308	308	0.18841458696077	0.526798802797773
Moraxella	Group	Tumor	-0.521492769886155	0.396783620465338	308	308	0.190712159777005	0.526798802797773
Rheinheimera	Group	Tumor	-0.583214229311561	0.447863232900696	308	308	0.193822201029369	0.526798802797773
Unknown.genus1	Group	Tumor	-0.507561477658611	0.384419207723094	308	308	0.188695530835629	0.526798802797773
Diaphorobacter	Group	Tumor	-0.492195686089491	0.386457731194485	308	308	0.20473380494271	0.529311788388469
Unknown.genus2	Group	Tumor	-0.499052603717364	0.389137990777363	308	308	0.201622105417832	0.529311788388469
Bosea	Group	Tumor	-0.633561963893626	0.511767251046719	308	308	0.217616637544873	0.549222942375156
Cardiobacterium	Group	Tumor	-0.432857397060456	0.358323401597437	308	308	0.228908234310037	0.551460746292362
Leptotrichia	Group	Tumor	0.71037928446773	0.582887433527006	308	308	0.224824490912837	0.551460746292362
Capnocytophaga	Group	Tumor	0.626673756788534	0.537381820696767	308	308	0.245363919780636	0.565403815146683
Lautropia	Group	Tumor	-0.470184657765576	0.401039282018616	308	308	0.242852541852031	0.565403815146683
Flavobacterium	Group	Tumor	-0.565105002810812	0.49214582983732	308	308	0.252658688924246	0.569825979275959
Granulicatella	Group	Tumor	0.533231896945903	0.480954452372847	308	308	0.269301413759999	0.594707288719998
Fusobacterium	Group	Tumor	0.492055833294766	0.458689627515578	308	308	0.285075771053134	0.616694525135352
Halomonas	Group	Tumor	-0.460375707611955	0.441277571145179	308	308	0.298464625803693	0.624691181830848
Microbacterium	Group	Tumor	-0.606586205614378	0.58494857570174	308	308	0.300558964843144	0.624691181830848
Clostridium.XI	Group	Tumor	-0.475825475981747	0.470216565291314	308	308	0.313169930603379	0.638384858537658
Anoxybacillus	Group	Tumor	-0.363789676651748	0.431396607411281	308	308	0.400386300075026	0.652396467195336
Bacillus	Group	Tumor	0.473179125365038	0.54909019482171	308	308	0.390173040972272	0.652396467195336
Blastococcus	Group	Tumor	0.439479765832845	0.508920998210321	308	308	0.389185731224639	0.652396467195336
Brevibacterium	Group	Tumor	-0.424619409143089	0.475206776167238	308	308	0.372967873446706	0.652396467195336
Exiguobacterium	Group	Tumor	-0.410705903667703	0.49340902018047	308	308	0.405841227657086	0.652396467195336
