taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Staphylococcus,2.6647411779807603e-4,0.03721554202979636,3.6047097000057975e-4,0.055896426419513666,6.773536076898696,6.318921635869829,7.012998315923938,0.821892923455898,6.689131593633233,0.11692799964993478,0.4203159370850637,2.6647411779807603e-4,0.03721554202979636,3.6047097000057975e-4,0.055896426419513666,0.03721554202979636,TRUE,Tumor_enriched
Streptococcus,0.001961899051670147,0.12266867021788753,0.0012416801260188449,0.08390190468403283,7.865354011401683,7.411131346617523,8.195943910242951,0.7978268299785554,5.574065497949629,0.11544387068218069,0.41691661696135973,0.001961899051670147,0.12266867021788753,0.0012416801260188449,0.08390190468403283,0.08390190468403283,FALSE,ns
Prevotella,0.0016386287015571818,0.10973179593657366,0.0032802071489223244,0.1181789943495847,4.740818444516584,0.6299053653142446,6.322472708027029,1.5299680349636855,9.226254903073396,0.17546946021397242,0.39780000035551977,0.0016386287015571818,0.10973179593657366,0.0032802071489223244,0.1181789943495847,0.10973179593657366,FALSE,ns
Achromobacter,0.007161272489661608,0.2834484924331458,0.002362416875388268,0.11331827329093852,5.447051510973967,5.032526316527656,5.727967270842296,0.619937726413581,3.303264792619234,0.12681737309774732,0.404600000330014,0.007161272489661608,0.2834484924331458,0.002362416875388268,0.11331827329093852,0.11331827329093852,FALSE,ns
Corynebacterium,0.008095541034174114,0.30225671918421926,0.0035662901187888136,0.13410009687514163,8.214254192511238,7.690297408906294,8.520286638168127,0.687806330342708,4.0809572243797705,0.11931337135432116,0.4135172968377391,0.008095541034174114,0.30225671918421926,0.0035662901187888136,0.13410009687514163,0.13410009687514163,FALSE,ns
Aminobacter,0.05557896911133243,0.7622607555279866,0.0039426090687540855,0.14041803751545032,5.269839359997751,4.92473344264367,5.569743532792278,0.5363206841356494,3.4071141270140157,0.09939481859928559,0.42111577711418274,0.05557896911133243,0.7622607555279866,0.0039426090687540855,0.14041803751545032,0.14041803751545032,FALSE,ns
Alkaliphilus,0.10120235466468458,0.8900029101856098,0.008098145542756088,0.18408088967129607,4.98666147996284,4.701651326600634,5.331940533760152,0.6356634317899119,5.748363738240618,0.0964220650323054,0.4116000003041744,0.10120235466468458,0.8900029101856098,0.008098145542756088,0.18408088967129607,0.18408088967129607,FALSE,ns
Aureimonas,0.005308316334485586,0.2377195044823799,0.005467574834916138,0.26089359300648646,-2.346314880951346,-1.7153254140244387,-2.823538132389369,-1.4709266288675913,6.9058878790258245,-0.20101572178648042,0.41031793672147115,0.005308316334485586,0.2377195044823799,0.005467574834916138,0.26089359300648646,0.2377195044823799,FALSE,ns
Rothia,0.029190154542224716,0.5675075393414021,0.017140793895798985,0.250010921903627,5.782493977868302,5.08081659075188,6.305258689913014,1.1165284466494652,8.887739089722768,0.12276709407008099,0.4175164969831838,0.029190154542224716,0.5675075393414021,0.017140793895798985,0.250010921903627,0.250010921903627,FALSE,ns
Afifella,0.35833335617197987,0.9993391091474607,0.01684921839350837,0.2618194643779363,5.227355659257256,4.979875324017723,5.496458323933247,0.43572735603515955,3.4800794276840326,0.07658410089503953,0.43591281765361833,0.35833335617197987,0.9993391091474607,0.01684921839350837,0.2618194643779363,0.2618194643779363,FALSE,ns
