taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Staphylococcus,3.379696013368662e-4,0.03692290366755804,6.419276263083164e-4,0.0700025713670498,8.511642068927177,8.013023712845992,8.740621935087667,0.8309766524486313,6.425621822752028,0.12961975625330346,0.40960000031151633,3.379696013368662e-4,0.03692290366755804,6.419276263083164e-4,0.0700025713670498,0.03692290366755804,TRUE,Tumor_enriched
Prevotella,0.002221695970395232,0.10065821960520402,0.0036820841246364647,0.13705861836287977,6.653586214098717,2.7604807479230766,8.049567828077809,1.3908751838575428,8.74471323690916,0.17052140881345693,0.3952000003653856,0.002221695970395232,0.10065821960520402,0.0036820841246364647,0.13705861836287977,0.10065821960520402,FALSE,ns
Streptococcus,0.003570406655347285,0.13592898602997963,0.0035666762379989586,0.14661102975289977,9.748243447384585,9.35020044920067,10.021249039122992,0.7975580309951367,5.439505232163604,0.12184912973215481,0.40800000031741274,0.003570406655347285,0.13592898602997963,0.0035666762379989586,0.14661102975289977,0.13592898602997963,FALSE,ns
Corynebacterium,0.01192333381083849,0.3051248943031493,0.003691709820869478,0.14810861596401298,10.021640731532399,9.548646109532914,10.322743519019333,0.6964333563453078,3.7981569816335683,0.12586576680820627,0.3961207762065707,0.01192333381083849,0.3051248943031493,0.003691709820869478,0.14810861596401298,0.14810861596401298,FALSE,ns
Anaerococcus,0.022894962290515682,0.4187678822170566,0.01595963218385472,0.3388554944238322,2.8775172658016004,1.7173272303092233,5.150587065234321,1.4130246555545423,7.607120061603047,0.18201669559745992,0.41731653697590876,0.022894962290515682,0.4187678822170566,0.01595963218385472,0.3388554944238322,0.3388554944238322,FALSE,ns
Rothia,0.05375676067057439,0.6315644645337521,0.017844919296760124,0.3589813319109076,7.73165201666205,7.059517846233671,8.314172829241151,0.9702566124664154,8.214880870257044,0.11943926556858805,0.417600000282335,0.05375676067057439,0.6315644645337521,0.017844919296760124,0.3589813319109076,0.3589813319109076,FALSE,ns
Neisseria,0.05068348142976986,0.559622603262872,0.036239632872411776,0.5070645407336192,5.412752400853495,3.1192017210622707,6.327819348245322,0.9402431132796183,7.885792849290311,0.12316486999191567,0.43191361750769475,0.05068348142976986,0.559622603262872,0.036239632872411776,0.5070645407336192,0.5070645407336192,FALSE,ns
Chryseobacterium,0.05875340145428896,0.6061764914767854,0.05613531547429592,0.6023617844085274,0.848911408299152,0.46690929237410295,1.3128347055681466,1.0230459996869739,8.390107013335852,0.11433894100711878,0.44020000020222627,0.05875340145428896,0.6061764914767854,0.05613531547429592,0.6023617844085274,0.6023617844085274,FALSE,ns
Unknown genus116,0.08463558930538985,0.6509026069116266,0.14328685127167656,0.7545300736112305,0.08090336161539113,-0.10045254734972087,0.30324595547437383,0.9084740257385926,7.85057631866785,0.11600916047893695,0.44451109796763816,0.08463558930538985,0.6509026069116266,0.14328685127167656,0.7545300736112305,0.6509026069116266,FALSE,ns
Afipia,0.056614165546607996,0.6727587136482592,0.07172504849364739,0.6605149733342079,-0.682483523573401,-0.25632029723266925,-1.0257974406879162,-0.9310371789996479,6.622516818673165,-0.13126368786205042,0.43151369749310736,0.056614165546607996,0.6727587136482592,0.07172504849364739,0.6605149733342079,0.6605149733342079,FALSE,ns
