taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Janthinobacterium,-1.393707502796447,0.7785033100100579,0.23777844257761127,0.019736111967828093,-5.861370306273827,39.445626944106266,9.674548775016876e-7,7.77496448005201e-32,6.0949657282606315e-6,1.46946828672983e-29,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7785033100100579,1.46946828672983e-29,TRUE,FALSE,TRUE,FALSE,Tumor_enriched,ns
Microbacterium,-0.23104932828887978,-0.7086351522017819,0.17313554413655702,0.23632137317128987,-1.3344996802426916,-2.998607966314374,0.18544437050841073,0.0035159589555596492,0.259622118711775,0.33225812130038684,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.7086351522017819,0.33225812130038684,FALSE,FALSE,FALSE,FALSE,ns,ns
Bosea,-0.020675034124231068,-0.5635229349872424,0.20036621624951065,0.2522741822728172,-0.10318622825359444,-2.233771723726493,0.9180588864194007,0.02990130805562329,0.9481591777774139,0.9321199592893779,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5635229349872424,0.9321199592893779,FALSE,FALSE,FALSE,FALSE,ns,ns
Brevundimonas,0.07110048561252551,-0.6120499814575422,0.21536452543125562,0.25919134098274144,0.3301401912415738,-2.361382826821735,0.7424117869685725,0.025603937895825067,0.8390526232882788,0.9321199592893779,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.6120499814575422,0.9321199592893779,FALSE,FALSE,FALSE,FALSE,ns,ns
Escherichia/Shigella,-0.21686848287972676,-0.6089313869822874,0.1924079841876062,0.2598293877687778,-1.127128293534173,-2.3435816564528706,0.26244046432734797,0.021119386354018003,0.3517818989919771,0.9321199592893779,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.6089313869822874,0.9321199592893779,FALSE,FALSE,FALSE,FALSE,ns,ns
Roseomonas,-1.1844380370206664,1.2915848820278901,0.42691210860463175,0.5767457574748693,-2.7744306454366425,2.2394354276358395,0.009423214048349638,0.03452296145516214,0.019150402743420232,0.9321199592893779,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.2915848820278901,0.9321199592893779,FALSE,FALSE,FALSE,FALSE,ns,ns
Stenotrophomonas,-1.237978141601126,0.6352280902510721,0.22046983027542152,0.22229880814055364,-5.615181633036067,2.8575415926181402,1.8626284749895423e-6,0.025833562010973234,1.0667781265849198e-5,0.9321199592893779,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.6352280902510721,0.9321199592893779,FALSE,FALSE,FALSE,FALSE,ns,ns
5-7N15,0.10777974278334534,-0.006637784931105509,0.03168859591616157,0.029152460738850455,3.4012154741250735,-0.22769209743792118,7.871910820773005e-4,0.8204527374967163,0.002324673664259528,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.006637784931105509,1,FALSE,FALSE,FALSE,FALSE,ns,ns
A17,-0.022505780113755525,0.003193985135023511,0.03197301899540436,0.02965757035498172,-0.7038991256030714,0.10769544156158438,0.48216771121266666,0.914399905179455,0.5660229653366088,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.003193985135023511,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Abiotrophia,-0.09659075423531523,0.009425932239011002,0.06222958132973453,0.07566282077097249,-1.552167830336378,0.12457812361427575,0.12298076575464605,0.9011204671453253,0.18158878693459454,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.009425932239011002,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetivibrio,0.37843961148876343,0.0023931651943685035,0.032163512861697476,0.03227934547548603,11.766115632830497,0.07413921066602636,1.1621439822876367e-23,0.9410459595815508,3.137788752176619e-22,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0023931651943685035,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetobacter,0.1516853160536311,0.025756382996874296,0.03153587090816307,0.0312806632600339,4.809929508379845,0.8233963194054852,2.873279158388129e-6,0.4123563815849488,1.4677020565820443e-5,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.025756382996874296,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetobacterium,0.2650217110687338,0.034586201119578615,0.029088629319016086,0.02687243206205306,9.110835308265328,1.287051393030342,8.937442446758523e-17,0.20150511402560012,1.2065547303124005e-15,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.034586201119578615,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Achromobacter,-0.11410023355561956,-0.01478429994391741,0.03479092532010531,0.03392682797317458,-3.2795975532643347,-0.43577018033065534,0.0011800301041910448,0.6636505710751182,0.0033287416371956336,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.01478429994391741,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acidaminococcus,0.06597149976054396,-0.011481184662234488,0.030296740412584892,0.028605617908105976,2.177511470281477,-0.4013611836359271,0.030387039843223988,0.6887818192441879,0.05221045936699394,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.011481184662234488,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acidovorax,0.05082280043150896,0.06881747930453151,0.048591935403167766,0.05365167895070074,1.04591019085434,1.2826714960358698,0.2966767256987362,0.20323850736699461,0.38878396582940133,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.06881747930453151,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acinetobacter,-0.10348014608979943,0.03984618608972454,0.04643304555851031,0.052685937104738075,-2.228588386678277,0.7562964289789799,0.026605972705914752,0.4506418446745676,0.04789075087064656,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.03984618608972454,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinobacillus,0.3172042601886413,-0.084880027208935,0.044926426173407516,0.0533290002653628,7.060527337836595,-1.591629822171345,4.503325930474081e-11,0.11532693700471569,5.00663882858589e-10,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.084880027208935,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinobaculum,0.01746415296736478,0.01852583596193612,0.03497934140900711,0.028820863582459496,0.49927049120678396,0.6427925349610628,0.618188067750732,0.5221083056851042,0.7081063321508385,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.01852583596193612,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomadura,0.00944557994688575,-0.004572688163014154,0.032312269788214054,0.03123614813723259,0.29232177153741884,-0.14639091039409052,0.7703292755327003,0.8838987663301368,0.8514165676940372,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.004572688163014154,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomyces,-0.05761351640314607,-0.01579924163162398,0.043344947574565605,0.04805847503634185,-1.3291864364130208,-0.32875037378270083,0.18483830881804647,0.7428126305149167,0.259622118711775,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.01579924163162398,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomycetospora,0.008851524377652475,0.011093642282902761,0.03927828391262017,0.042677563983417356,0.22535415236938258,0.25994085058869026,0.8219149087736148,0.7952719954160542,0.8698426585645028,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.011093642282902761,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinoplanes,0.026806279168615877,0.013534133180141123,0.0323050713500896,0.03221517774061519,0.8297854809889323,0.42011666951251997,0.407458818580247,0.675072047869437,0.5000630955303031,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.013534133180141123,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinopolymorpha,-0.007199915785540723,-0.013883686325540337,0.03248051829071791,0.031654376187078705,-0.22166874681917476,-0.4386024303081243,0.8247634892706417,0.6617654675718869,0.8698426585645028,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.013883686325540337,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Adhaeribacter,-0.06034086767744155,-0.042008812061553165,0.04389028652160327,0.050194523587273075,-1.374811432314098,-0.8369202267357426,0.17051055958473327,0.4034949675322249,0.24414011940541355,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.042008812061553165,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aequorivita,0.21171510430184382,-0.006488026666112392,0.029424145159948754,0.02713382487530501,7.195284795903738,-0.23911213018910812,8.901740593422172e-12,0.8114125731376609,1.1216193147711937e-10,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.006488026666112392,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeribacillus,0.3247978014676888,-4.998927436671493e-4,0.02851755971115811,0.02638623893000489,11.389396735114213,-0.018945206438599344,1.6001647433217428e-23,0.9849155963501544,3.780389206097617e-22,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-4.998927436671493e-4,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aerococcus,-0.008665135666082199,0.0027379763131533366,0.04017589864483899,0.0444284636595627,-0.21567994639481014,0.061626625987640245,0.8293904331176574,0.9509030668728122,0.8698426585645028,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0027379763131533366,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromicrobium,-0.07688990874308334,9.679987997504588e-4,0.033376656108934415,0.03203376063668214,-2.303703177817777,0.03021808181465884,0.022016702854249354,0.9759373425944413,0.04039958096556435,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9.679987997504588e-4,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromonas,-0.03986869746750131,0.020395373933666427,0.05128595051799792,0.05172064802473667,-0.7773804924120511,0.3943371692464456,0.43773311694177,0.6939872920165666,0.526952605745188,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.020395373933666427,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afifella,0.007061843125078991,0.03659042302181471,0.03346256913423433,0.03269326751609806,0.2110370873422949,1.119203609850184,0.8330239216940476,0.26497926732287547,0.8698426585645028,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.03659042302181471,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afipia,0.5379242821836756,-0.17839509767127248,0.14515234989664483,0.16049770430340743,3.705928857277905,-1.111511834051106,4.34856075484843e-4,0.2845544577189357,0.0013697966377772554,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.17839509767127248,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aggregatibacter,-0.11805541977887127,0.019282315891103585,0.03770098688680966,0.03976644754515368,-3.1313615246548094,0.4848890731114228,0.0019270853812798439,0.6284619000879417,0.004921880230566088,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.019282315891103585,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Agrobacterium,-0.08338094508589794,0.03305429144715541,0.045379681946098364,0.04760943139767245,-1.8374069960414703,0.6942803238093572,0.06729251706302666,0.48876110354559665,0.1077820824145088,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.03305429144715541,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Agrococcus,0.08913916165854045,0.014145613594796902,0.030854063348153698,0.029650177558424955,2.8890574525858854,0.4770836048763389,0.004261824434332388,0.6342098959631945,0.00970463636251592,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.014145613594796902,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Agromyces,0.15959683743754036,-0.023805952287482113,0.037811391189905653,0.02965641011578797,4.220866580549071,-0.8027253532890924,4.0795624675670517e-5,0.4247746059441405,1.7085827997064942e-4,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.023805952287482113,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Akkermansia,0.002198407943754584,0.00624736802972043,0.030327569117042298,0.027943117980957735,0.07248876213158835,0.22357447848081213,0.9422688941398123,0.8234442192339522,0.9585634622975537,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.00624736802972043,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Alcaligenes,0.12050020685223756,0.02195091517976734,0.04208188356635217,0.046111931122467364,2.863469898210239,0.4760354781383701,0.004621779510491954,0.6348047456254161,0.010399003898606896,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.02195091517976734,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Alcanivorax,0.09841719653179132,-0.0011087470673196344,0.031339302014648594,0.029977049570794032,3.140376147681567,-0.03698653080254642,0.0018977260730537642,0.9705541525512693,0.004913290791878924,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.0011087470673196344,1,FALSE,FALSE,FALSE,FALSE,ns,ns
