taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Abiotrophia,-0.28344396621243284,-0.226509625375535,0.22916277884918862,0.29184037943463254,-1.2368673814998836,-0.776142169957223,0.22334924539908604,0.4434732683726035,0.9073956081631119,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.226509625375535,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Achromobacter,0.2709380845131617,-0.2673275057126332,0.3815491427895272,0.4186844438552204,0.7101001001661756,-0.6384940009977397,0.48945298960710604,0.5670772728951307,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2673275057126332,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acidovorax,0.1534273929569542,0.3065013127558183,0.25873338321534595,0.3254501137672323,0.5929941898114296,0.9417766342372014,0.5559122211778672,0.3509271566499901,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3065013127558183,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acinetobacter,0.24367163579407705,0.05449678135355733,0.17537200687596333,0.20686370491985845,1.3894557069556746,0.2634429339582314,0.16619421264349327,0.792633576341941,0.8263545573107026,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.05449678135355733,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomyces,0.02623588164656649,0.05752946005565976,0.19089365097569588,0.21757356521355598,0.13743716206625844,0.264413831704199,0.8908885791699067,0.7921193232618775,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.05752946005565976,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Adhaeribacter,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aerococcus,0.35182326813199194,-0.5143146990124212,0.20056626690292884,0.23812950285553117,1.7541497559121908,-2.1598109131586547,0.08277147270069822,0.03441814323917194,0.7797944007065779,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5143146990124212,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromonas,-0.1263996310605755,0.18837657142734154,0.1960616993176723,0.22838359161909857,-0.6446931323173648,0.8248253304533308,0.5206054153482316,0.41230386792108265,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.18837657142734154,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afipia,0.6351060715285026,-0.05132304615454995,0.24810709503949566,0.35383019295468354,2.559806165266662,-0.1450499340544494,0.014471806774336444,0.8866114117127997,0.7797944007065779,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.05132304615454995,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aggregatibacter,0.11883347098975548,-0.19526690045687406,0.2718573703598692,0.32509655592322034,0.43711697362646657,-0.600642784117932,0.6638886070447192,0.5524621903675705,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.19526690045687406,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Agrobacterium,-0.11796430261852374,0.21289629221820408,0.22849921770682383,0.29074098085900973,-0.5162569211500669,0.7322541582861509,0.6070476798095961,0.46672858096520253,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.21289629221820408,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Alishewanella,-0.6842929612607339,0.2959981061567811,0.31653034406233266,0.45628995447797865,-2.161855803391727,0.6487061642534288,0.0451815801992022,0.5251953734548579,0.7797944007065779,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2959981061567811,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Alloiococcus,0.46899154830872164,-0.23862021580892367,0.30259141080182683,0.36271493635532165,1.549916922843106,-0.6578725933005618,0.12700291234427127,0.5134148399109211,0.8203270628345987,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.23862021580892367,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Anaerococcus,0.18211464115943862,-0.10011191272698312,0.19889584821915582,0.2324117616242896,0.9156281681595152,-0.43075235103127557,0.3613616187005968,0.6676112258955607,0.9929711904156732,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.10011191272698312,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Anoxybacillus,-9.343465314996072e-4,-0.3474917106683723,0.3181722040696209,0.4101755864453423,-0.002936606402283834,-0.8471779456203133,0.9976757470532256,0.40338922302550695,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.3474917106683723,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aquabacterium,0.04730020896254995,-0.04019398820399049,0.2963884396820828,0.13767333875931081,0.15958857576660515,-0.29195186639775,0.8748894790074118,0.7734872986205319,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.04019398820399049,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Arcobacter,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Arthrobacter,0.39708590824145873,-0.303685507396941,0.268738062970478,0.34608176474139996,1.4775945910017232,-0.8774964136693582,0.14466113443894613,0.3836600964252739,0.8203270628345987,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.303685507396941,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Atopobium,-0.2788516359232058,-0.28213553811016007,0.3741290414675789,0.44598013729790853,-0.7453354458380649,-0.6326190664444266,0.4633144289028138,0.5346453696384437,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.28213553811016007,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aurantimonas,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Bacillus,0.2791406844583869,0.15585520124503074,0.25046300497044105,0.29828955016820374,1.1144986641493435,0.5224963501307535,0.26813670557502894,0.6031015857466718,0.9305514785034871,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.15585520124503074,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Bacteroides,0.2581400244932058,-0.4438996711248221,0.3643516326433485,0.41959174844243313,0.7084914718795574,-1.0579323181941076,0.4856771430534387,0.30949456886722665,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.4438996711248221,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Bifidobacterium,-0.3355772841333033,0.15633009292446953,0.4188279379409884,0.5602673390862407,-0.8012294637818195,0.27902767485863744,0.432905094133325,0.7832380637279377,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.15633009292446953,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Blastococcus,-0.041434468678127265,-0.020843458133569404,0.3449668990790947,0.4227201977794509,-0.12011143326718743,-0.049307930501215895,0.9049543378691804,0.960902223903279,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.020843458133569404,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Blautia,-0.2162533980745139,0.4410198082015185,0.33482491730131597,0.4583652397465856,-0.6458700858272831,0.9621580564122689,0.52475570839419,0.3459774793163779,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.4410198082015185,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Bosea,0.386369584892913,-0.30391407548070515,0.2171336351480015,0.26871753167677154,1.7794091856361074,-1.1309797078899564,0.07871818013344557,0.26275292808676665,0.7797944007065779,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.30391407548070515,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Brachybacterium,0.2632397531828316,-0.13618779400679354,0.2857065579122908,0.3514750315688054,0.9213640565563905,-0.38747501749674973,0.360884348688294,0.6999000282085293,0.9929711904156732,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.13618779400679354,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Brevibacterium,0.2656849307463672,0.12416522679756159,0.2587155602539657,0.3272542538589883,1.0269383506951033,0.37941516522215646,0.3083202092939172,0.7060076275877798,0.9682336397124768,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.12416522679756159,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Brevundimonas,0.5229021697975921,-0.3995785838057322,0.2081094078636952,0.24427925194909897,2.5126310971009813,-1.6357450770685726,0.014351349396058907,0.10967981246076768,0.7797944007065779,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.3995785838057322,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Brochothrix,-0.1626725765531805,-0.6158861463352158,0.47433172913903915,0.6036398419218386,-0.3429510752916486,-1.0202874355913751,0.7352136971704306,0.31977613790849213,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.6158861463352158,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Campylobacter,-0.4338273700048534,0.37990512933801185,0.21636399239642992,0.26237580981908903,-2.0050811837950335,1.4479426651411216,0.048878922796848454,0.15216186647828842,0.7797944007065779,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.37990512933801185,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Capnocytophaga,0.008227003723748905,-0.1800499753803405,0.20392287342413215,0.23984134198464174,0.04034370242830898,-0.7507045027786328,0.9679012334127677,0.4554614056477714,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.1800499753803405,1,FALSE,FALSE,FALSE,FALSE,ns,ns
