taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Aeromonas,0.046957966572406126,0.8128319059009876,0.00631798780803373,0.21728772208861885,4.392900347698296,4.515593452918756,4.239661880408201,-0.35410928198281955,2.384291171817184,-0.08031611434021964,0.4241151772234164,0.046957966572406126,0.8128319059009876,0.00631798780803373,0.21728772208861885,0.21728772208861885,FALSE,ns
Actinobacillus,0.0031544444767868003,0.22849773742930155,0.033186471158436995,0.9203867082345245,4.079706590067794,3.9828669941422192,4.162846798552886,0.30299879167727584,6.753217319784551,0.04824369021972436,0.4561087783917322,0.0031544444767868003,0.22849773742930155,0.033186471158436995,0.9203867082345245,0.22849773742930155,FALSE,ns
Ammoniphilus,0.02548467885104172,0.6891733008596317,0.008188223131143707,0.23026037842015604,4.405705904405174,4.548694351469689,4.25041823165089,-0.3957166165120074,2.628512319645185,-0.08196289119436903,0.4241151772234164,0.02548467885104172,0.6891733008596317,0.008188223131143707,0.23026037842015604,0.23026037842015604,FALSE,ns
Bacillus,0.01673413102595526,0.529619037630336,0.02166241544738826,0.31692053848490725,-2.7628776043872767,-2.3802430019850247,-3.085702374027762,-1.0973748856585246,8.544208388988398,-0.13040853492279425,0.4326000002288245,0.01673413102595526,0.529619037630336,0.02166241544738826,0.31692053848490725,0.31692053848490725,FALSE,ns
Alloscardovia,0.16404999366936926,0.9734418709144318,0.020061523914813997,0.3405605638955659,4.386621226726229,4.489175315638011,4.277131038389582,-0.28673219938528804,2.7531417365798267,-0.05710337105617314,0.4451109779895598,0.16404999366936926,0.9734418709144318,0.020061523914813997,0.3405605638955659,0.3405605638955659,FALSE,ns
Acidovorax,0.34560396428398277,1,0.030144031068206366,0.3840393856972026,4.386032059235408,4.474740081198378,4.292195748220628,-0.25373187608447756,2.171003529434775,-0.05798962905542543,0.44571085801148375,0.34560396428398277,1,0.030144031068206366,0.3840393856972026,0.3840393856972026,FALSE,ns
Actinomyces,0.12253000984185657,0.9493141513830439,0.03456494258896403,0.41258254534834315,4.422045633140105,4.538613686151252,4.306224244413885,-0.3262042186749019,3.0775292220720205,-0.06419099864223163,0.44220000019527617,0.12253000984185657,0.9493141513830439,0.03456494258896403,0.41258254534834315,0.41258254534834315,FALSE,ns
Alcaligenes,0.5088728393848332,1,0.05013645643456571,0.476262561286937,4.374848155362386,4.478013308083595,4.260317944840445,-0.2603896950710012,2.7779903033547773,-0.04918864465119112,0.4486000001731637,0.5088728393848332,1,0.05013645643456571,0.476262561286937,0.476262561286937,FALSE,ns
Algoriphagus,0.6106028331016924,1,0.0864815276827037,0.6007697895462192,4.362395970618175,4.4281274225783935,4.288797782232059,-0.16423225371429906,2.7432415250556224,-0.03300968485362457,0.4666000001118326,0.6106028331016924,1,0.0864815276827037,0.6007697895462192,0.6007697895462192,FALSE,ns
Afifella,0.2405983325452281,0.9851280967963671,0.09509819262377829,0.6109566509904487,4.007982352434212,4.1747022932589815,3.828794433581062,-0.35014004590305303,7.209069682082566,-0.05026529771484109,0.44851029811381454,0.2405983325452281,0.9851280967963671,0.09509819262377829,0.6109566509904487,0.6109566509904487,FALSE,ns
Achromobacter,0.4487665736953544,0.9995920621291,0.10353121588915193,0.6134562318236768,4.317445953171483,4.403379635477378,4.221257144408238,-0.25167971759745544,3.462354152595363,-0.04522342957419079,0.45480000015190825,0.4487665736953544,0.9995920621291,0.10353121588915193,0.6134562318236768,0.6134562318236768,FALSE,ns
