taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Wautersiella,0.7704226555443638,-0.5164874661178134,0.21435984908408284,0.01919207215992603,3.594062315476649,-26.911500843367197,9.669993843645069e-4,1.9372588332966728e-25,0.0031381866813338715,3.332085193270277e-23,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.5164874661178134,3.332085193270277e-23,TRUE,FALSE,TRUE,FALSE,NAT_enriched,ns
Xanthomonas,-0.06043523387552455,0.5678852984358543,0.3039866532853491,0.019191419065340228,-0.19880883986967227,29.590584026246255,0.8443244805860968,1.3223889196376454e-18,1,1.1372544708883752e-16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.5678852984358543,1.1372544708883752e-16,TRUE,FALSE,TRUE,FALSE,Tumor_enriched,ns
Rhodobacter,-0.19839586726110706,0.17687268227247321,0.23860008248810552,0.01916527337240271,-0.8314995753238992,9.228810820260117,0.4132631299408973,1.0971690406292784e-9,0.6825564576894957,6.290435832941197e-8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.17687268227247321,6.290435832941197e-8,TRUE,FALSE,TRUE,FALSE,Tumor_enriched,ns
Devosia,0.6735131184802697,-0.7119863607625131,0.2168381337345272,0.2866877633799435,3.106063988287435,-2.483490583513071,0.0027650709790208883,0.018932310805736836,0.00880726311836283,0.8140893646466839,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.7119863607625131,0.8140893646466839,FALSE,FALSE,FALSE,FALSE,ns,ns
Alishewanella,0.5080998792574127,0.07833653714480451,0.04510484587771827,0.038115738097328454,11.26486233064402,2.0552281303007263,7.905137902134581e-25,0.04167765877960841,4.386076513442413e-24,0.9082287818392389,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.07833653714480451,0.9082287818392389,FALSE,FALSE,FALSE,FALSE,ns,ns
Bosea,-0.3020309959736232,0.5188764481647637,0.17068386967681226,0.23384131702047528,-1.7695344999238363,2.21892544386983,0.08019813714712654,0.030758708652228437,0.1768471742218688,0.9082287818392389,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5188764481647637,0.9082287818392389,FALSE,FALSE,FALSE,FALSE,ns,ns
Hydrogenophaga,-0.14013685789367772,1.092350971122062,0.32172038438818856,0.5130411853045683,-0.43558588356213157,2.129168188463437,0.6664768224045363,0.04224319915531344,0.8491408403968908,0.9082287818392389,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.092350971122062,0.9082287818392389,FALSE,FALSE,FALSE,FALSE,ns,ns
Moryella,-0.6921451571125625,0.464106264616614,0.16925653988383094,0.1910236105367221,-4.0893259284847465,2.4295753981018744,3.0890136397640646e-4,0.03751161634060952,0.0010417849922341551,0.9082287818392389,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.464106264616614,0.9082287818392389,FALSE,FALSE,FALSE,FALSE,ns,ns
Gardnerella,-1.0334656174601802,0.7149507228553701,0.27697617805094804,0.3760709133901127,-3.731243692986769,1.9011061408881798,6.94473789124244e-4,0.0657916568713192,0.0022971056101801913,0.9099492253437642,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.7149507228553701,0.9099492253437642,FALSE,FALSE,FALSE,FALSE,ns,ns
Granulicatella,-0.5850647436140106,0.6329428947091192,0.2807619159284782,0.23758713787795088,-2.0838465276859384,2.6640452861310346,0.04557310660743145,0.06877523214807521,0.11360252661562621,0.9099492253437642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.6329428947091192,0.9099492253437642,FALSE,FALSE,FALSE,FALSE,ns,ns
Kocuria,-0.563611921414254,0.8568369979792764,0.3068941428666088,0.4224109004973233,-1.8365026981281531,2.0284443345815264,0.07873401197019336,0.05741411717872801,0.17629573582074068,0.9099492253437642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.8568369979792764,0.9099492253437642,FALSE,FALSE,FALSE,FALSE,ns,ns
Lactococcus,0.23586716922691017,-0.6415582170019045,0.25348684161934193,0.32642954768116567,0.9304907809814799,-1.965380344883899,0.3564219152911978,0.06672360770858202,0.6130456943008602,0.9099492253437642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.6415582170019045,0.9099492253437642,FALSE,FALSE,FALSE,FALSE,ns,ns
Leuconostoc,-0.3355209796151645,0.5094216555723624,0.1862867871893515,0.052302360856303576,-1.8010991798045437,9.739936156456807,0.07892309103602926,0.057603615275067035,0.17629573582074068,0.9099492253437642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5094216555723624,0.9099492253437642,FALSE,FALSE,FALSE,FALSE,ns,ns
5-7N15,0.4702161495418023,0.008409218777034716,0.03970253257738454,0.027314689512195244,11.843479975119976,0.3078643370000686,2.0492649406835602e-27,0.7585635293169163,1.958186498875402e-26,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.008409218777034716,1,FALSE,FALSE,FALSE,FALSE,ns,ns
A17,0.7351286735775594,-0.006118461655618889,0.042930102339514595,0.028496435653061227,17.123850946446904,-0.2147097177383872,1.0712758881283179e-42,0.8304894447847618,1.842594527580707e-40,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.006118461655618889,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Abiotrophia,0.5067462040647547,-0.00539410164307078,0.040200217475650786,0.028645476999696152,12.605558772702912,-0.18830552701663847,3.943166699841241e-30,0.8508502414936996,6.165678839751758e-29,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.00539410164307078,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetivibrio,0.4320727713412083,0.007117358594966396,0.040580575847807915,0.02827754900719314,10.647280436868124,0.25169644629228327,3.2040622748725093e-23,0.8015286943377065,1.574567746508776e-22,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.007117358594966396,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetobacter,0.472659960936199,0.01443839534183333,0.039319482078679614,0.026841124734139018,12.02101187371671,0.5379206529102429,3.1415750970264706e-28,0.5912454344935063,3.602339444590353e-27,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.01443839534183333,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetobacterium,0.3611518025313512,2.8758418315634974e-5,0.0406319178241213,0.028214033279139024,8.888376967452714,0.0010192948321535603,3.7692661235070614e-17,0.9991877986728559,1.4093777679200316e-16,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2.8758418315634974e-5,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Achromobacter,0.44954998930181855,0.007502134709441113,0.03997185983954141,0.028202056939281576,11.246661804240334,0.2660137423874098,2.9913462825186772e-25,0.790513745893168,1.9788906176662017e-24,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.007502134709441113,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acidaminococcus,0.446034810160876,0.004250364099572761,0.039924352304685315,0.026868443179898473,11.17199865277543,0.15819167754210095,6.384316250551679e-25,0.874474083664785,3.7865599830858235e-24,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.004250364099572761,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acidovorax,0.4908531375945908,-0.010654683549786145,0.042856284961456596,0.02933110433636795,11.45346914778186,-0.3632554515369982,1.4447158355588755e-25,0.71690812442933,1.0353796821505275e-24,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.010654683549786145,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Acinetobacter,0.3659072263629942,0.0406915003397061,0.04740695250883369,0.039747009854512745,7.7184296184154,1.023762554432409,8.971218590454819e-14,0.3070856724389534,3.149080811343324e-13,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0406915003397061,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinobacillus,0.4777594058226799,-0.008028088233839612,0.04483237883727669,0.038017092656738354,10.656570501350203,-0.21117049392299256,4.1230445435916473e-23,0.8329717380236027,1.9698990597160092e-22,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.008028088233839612,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinobaculum,0.4923867357289535,0.021548772179882655,0.041149585747841104,0.029657640697157612,11.965776247329206,0.726584167632319,7.7477940324905685e-28,0.4684034437703555,8.328878584927362e-27,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.021548772179882655,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomadura,0.4541351634860835,0.007317257136212045,0.04082767479491841,0.028442588658293345,11.123218889325706,0.25726410574371067,6.952739622671755e-25,0.7972445016799047,3.9862373836651395e-24,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.007317257136212045,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomyces,0.3630134555402955,0.021136495961183378,0.04505201046962677,0.03901338396404793,8.057652738606025,0.5417755091601725,9.762608254410767e-15,0.588568736371059,3.498267957830525e-14,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.021136495961183378,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomycetospora,0.508782308529265,-0.008817411244159256,0.04053294379511463,0.029539500914715525,12.552315743486357,-0.29849560659864555,3.2630125727294075e-30,0.7656484623666664,5.612381625094581e-29,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.008817411244159256,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinoplanes,0.8565734783759368,-0.018956854999407163,0.06490019177403222,0.06782311734882121,13.198319680754285,-0.2795043303879727,1.8521252023938448e-26,0.7802645163066848,1.4480251582351879e-25,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.018956854999407163,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinopolymorpha,0.3568130481213569,-0.017618805477128022,0.04103888290924946,0.028730544312892733,8.694511712474936,-0.6132430101305684,1.280005056375969e-16,0.5404197808029235,4.684273823333333e-16,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.017618805477128022,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Adhaeribacter,0.4338744899532825,0.02373088569567287,0.04104644355472686,0.029722141709929522,10.570330883229907,0.7984244852632842,7.390576151761952e-23,0.4257173108667518,3.4356191840623125e-22,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.02373088569567287,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aequorivita,0.49027086557442,0.001482238953797627,0.04327186642309925,0.031431870444398984,11.330014304922729,0.04715719850078967,5.287906974025978e-25,0.9624473634473678,3.368592590860993e-24,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.001482238953797627,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeribacillus,0.49561537783914555,0.023147806140431375,0.039419130635920556,0.026690326301695703,12.572965710905802,0.8672732539414753,8.448725720974392e-30,0.38699646636354834,1.2109840200063295e-28,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.023147806140431375,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aerococcus,0.45201604439516235,0.009624737628101513,0.040271860000293654,0.029895588638339538,11.22411640266594,0.32194507840391834,1.8833013736687498e-25,0.7478320577687738,1.2957113450840998e-24,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.009624737628101513,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromicrobium,0.46870943486664324,0.0041561060385545065,0.040020125386881614,0.027789069263377913,11.711843237259915,0.14955902262015194,3.831473909073781e-27,0.8812599796063594,3.4684921703194226e-26,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0041561060385545065,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromonas,0.4473859069093271,7.813367647965897e-4,0.04364449888646902,0.03399291865789871,10.25068263638671,0.022985280336174828,7.888954160138185e-22,0.9816919215984821,3.570789777746757e-21,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7.813367647965897e-4,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afifella,0.5433108265953588,-0.015889172804664287,0.04043875498649366,0.029639975841113782,13.435399452253709,-0.5360723939128291,6.272103320248188e-33,0.5926238068858249,1.5411453872609836e-31,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.015889172804664287,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afipia,0.42238286161886207,0.030931406854984574,0.04337305107153391,0.03435195592483861,9.738370974230943,0.9004263664829412,3.279680982060398e-20,0.3689382955915611,1.2820571111690645e-19,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.030931406854984574,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aggregatibacter,0.47252620027854697,0.017366948778924106,0.04288557767430892,0.03161771686054436,11.018300927810959,0.5492790278160868,2.3740390464668404e-24,0.5835367107761382,1.2373779272493835e-23,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.017366948778924106,1,FALSE,FALSE,FALSE,FALSE,ns,ns
