feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,significant,direction
Actinobacillus,Group,Tumor,0.749747370087071,0.205968699148896,456,347,3.3750711072397e-4,0.0443036186638005,TRUE,Tumor_enriched
Bacillus,Group,Tumor,-1.09240761282603,0.322691092740579,456,116,7.7273753483373e-4,0.0443036186638005,TRUE,NAT_enriched
Devosia,Group,Tumor,-0.725767771709319,0.20637633490163,456,70,5.2751363498268e-4,0.0443036186638005,TRUE,NAT_enriched
Enterococcus,Group,Tumor,-0.515381401134782,0.173101363979963,456,35,0.0032229194084711,0.138585534564257,FALSE,ns
Ammoniphilus,Group,Tumor,-0.108230982025066,0.0428697130465807,456,404,0.0122646049962017,0.421902411869338,FALSE,ns
Ferruginibacter,Group,Tumor,-0.255568056919034,0.106654627759554,456,24,0.01696883088752,0.486439818775573,FALSE,ns
Actinomadura,Group,Tumor,0.0951522174065036,0.0481331474228077,456,390,0.0492684808951343,0.539856043549467,FALSE,ns
Alkanindiges,Group,Tumor,0.365130438883127,0.193920493171911,456,405,0.0603547552786668,0.539856043549467,FALSE,ns
Bacteroides,Group,Tumor,-0.319390061372037,0.166749406394941,456,42,0.0566994660664029,0.539856043549467,FALSE,ns
Bifidobacterium,Group,Tumor,-0.202138398612306,0.106749115240484,456,30,0.0595519892162338,0.539856043549467,FALSE,ns
Brachybacterium,Group,Tumor,-0.498598208650687,0.23617026345042,456,66,0.0358505850560738,0.539856043549467,FALSE,ns
Friedmanniella,Group,Tumor,0.4204952742497,0.21544520076134,456,40,0.05158229680482,0.539856043549467,FALSE,ns
Janibacter,Group,Tumor,-0.336233480680017,0.161388223057046,456,52,0.0383357247811759,0.539856043549467,FALSE,ns
Lachnoanaerobaculum,Group,Tumor,-0.0945261631823204,0.0505493172965354,456,38,0.0627739585522636,0.539856043549467,FALSE,ns
Lysobacter,Group,Tumor,-0.264596631139296,0.140832813621973,456,26,0.0615534003838885,0.539856043549467,FALSE,ns
Marmoricola,Group,Tumor,-0.245711950935493,0.117443782280269,456,30,0.037535011590433,0.539856043549467,FALSE,ns
Skermanella,Group,Tumor,0.383732839444707,0.200652824370302,456,39,0.0570808241679887,0.539856043549467,FALSE,ns
Sphingobium,Group,Tumor,-0.453613436726232,0.235460674375936,456,62,0.0546667026696529,0.539856043549467,FALSE,ns
Unknown.genus24,Group,Tumor,0.325899035163568,0.164640970384498,456,52,0.0489733533448749,0.539856043549467,FALSE,ns
