taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Acidovorax,-0.17249800034218127,0.031621202090312536,0.18330175504661697,0.24244037678516353,-0.9410602768004698,0.13042877803449957,0.35035412388335463,0.8977713596025845,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.031621202090312536,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Acinetobacter,-0.06263940691335906,6.08073544127286e-4,0.17382724681428374,0.2410452634378614,-0.3603543636647638,0.002522652946814863,0.7189359332748315,0.997991102063819,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6.08073544127286e-4,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomyces,-0.16550599207786057,0.15100645552533806,0.19791847805977505,0.2380731845928003,-0.8362331486192749,0.6342858637507583,0.40509728221814556,0.5300241526763174,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.15100645552533806,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Aerococcus,-0.22729316931911253,0.3944885582546938,0.24151503757783835,0.3391401433290524,-0.9411139430432268,1.1632021924102902,0.3514135764240104,0.26138341830381356,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3944885582546938,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Aeromonas,-0.16459217240281118,-0.1908764104482611,0.2011577993204252,0.3085347505398149,-0.8182241651025001,-0.6186544955286307,0.4166973261306669,0.5386524300019605,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.1908764104482611,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Afipia,0.03551377757868512,0.3467236664832387,0.23342396908147936,0.31461551653669784,0.1521428057214151,1.1020552015361127,0.8794844936387008,0.2758582865330485,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3467236664832387,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Agrobacterium,0.10439976851566116,-0.30567057734486347,0.2285698795944049,0.3127206517629264,0.4567520825618737,-0.9774556800827865,0.6492242632810136,0.3316164654266317,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.30567057734486347,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Anaerococcus,-0.08817605226840193,0.12879645271166548,0.25808741014363656,0.3667580493115424,-0.3416518931292628,0.35117553098953097,0.7337870746256848,0.7266667090182846,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.12879645271166548,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Anoxybacillus,-0.5994394642795043,-0.11743639759107093,0.267362940762067,0.38108772107177846,-2.242043951831606,-0.30816106396918413,0.029011316691333278,0.7591238756334561,0.6458487045720118,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.11743639759107093,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Arthrobacter,0.12334149891761619,-0.20697203170886858,0.2343429454074491,0.34378860885080303,0.5263290461044768,-0.6020328375646967,0.6007380812681176,0.5495821542103316,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.20697203170886858,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Bacillus,-0.05855199092884784,0.1082105382587011,0.19780501267495504,0.29825165648134566,-0.29600863060565585,0.36281621881107373,0.7677620430846447,0.7176776262703237,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1082105382587011,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Blastococcus,-0.4093843352914407,0.5896501249081052,0.27427669923666964,0.3888793562338148,-1.492596113453256,1.5162803462202206,0.14238468445366842,0.1383461302042855,0.9017696682065666,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5896501249081052,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Bosea,-0.295202092032234,0.2488956664610148,0.17866874262417817,0.25363621475600123,-1.6522313175571992,0.9813096552495595,0.10197252424778476,0.32979815980069704,0.9017696682065666,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2488956664610148,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Brachybacterium,-0.16015818817001196,0.2143147758751422,0.23883613960859523,0.3726591564417363,-0.6705776957895873,0.575095961471832,0.5049023604899112,0.5674346555542134,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2143147758751422,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Brevundimonas,0.13620215987853518,-0.004909392549896851,0.18159189464586778,0.24453462696411093,0.7500453703847874,-0.020076471830786473,0.4553820018252045,0.9840749096419972,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.004909392549896851,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Caulobacter,0.008344167482153766,-0.13075323794539456,0.23151049355985454,0.3057687666041049,0.03604228626464602,-0.4276213015395642,0.9714116646764384,0.6710125177821923,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.13075323794539456,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Chryseobacterium,-0.22792204623543763,0.0032500967804404133,0.21681262648368266,0.27579124920914955,-1.0512397268181752,0.011784626197387663,0.296845658228032,0.9906769495058361,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0032500967804404133,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Cloacibacterium,-0.15660642102098565,-0.04986828851381579,0.21849833754699796,0.3061693900268556,-0.7167396456153831,-0.1628780999610758,0.4770121589486873,0.8714395346605099,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.04986828851381579,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
Corynebacterium,0.19345199437792512,-0.2981663912338504,0.16644085889435192,0.2312366251987494,1.1622866864723311,-1.289442755781332,0.24599057660155632,0.19818126574243042,0.9790899381614839,0.997991102063819,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2981663912338504,0.997991102063819,FALSE,FALSE,FALSE,FALSE,ns,ns
