taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Unknown genus24,0.005025346019043102,0.2851336707508949,0.004518144642367855,0.07833548761454326,-2.117237742477399,-2.319362358887707,-1.885120354792452,0.5051621773097752,3.7310261200166535,0.09482843697758593,0.417600000282335,0.07833548761454326,FALSE,ns
Kaistobacter,0.1384617855560327,0.9990301940491386,0.008282571216099443,0.1012477252319391,-2.1084247881892235,-2.291737344410362,-1.8984630777553608,0.4107293390644555,4.096856500195902,0.06862801349880421,0.43400000022390134,0.1012477252319391,FALSE,ns
Bacillus,0.002020423140762347,0.11516411902345378,0.04970995886218836,0.9728647619224001,-1.6641472683101473,-1.5484497231924248,-1.8034372042445996,-0.46131995803855297,10.208325030485376,-0.054933673873523846,0.4388000002071029,0.11516411902345378,FALSE,ns
Caulobacter,0.1538239780558133,0.9980820269228707,0.021195314369900322,0.14388265451171972,-3.1187499298999377,-3.283239333141956,-2.9348082858788924,0.36806003392762143,3.789574210908264,0.05689000829252762,0.44380000018973054,0.14388265451171972,FALSE,ns
Mycobacterium,0.17376312311036562,0.9990301940491386,0.024195177589680227,0.16093382898611708,-2.28872538228177,-2.4765866596660553,-2.089651738237337,0.38895937440269,4.007492105541047,0.06548535379938687,0.44060000020083423,0.16093382898611708,FALSE,ns
Stenotrophomonas,0.11052653512927611,0.9960436985709424,0.023832615307623053,0.1631452629605888,-2.1470752507566964,-2.3043958371916,-1.9857757719100384,0.40872853373442997,4.159896910980955,0.06645579908180915,0.43860000020780027,0.1631452629605888,FALSE,ns
Lactobacillus,0.11329382233286818,0.9992178208340988,0.02072239710403496,0.16601039101170612,-0.9867625500238795,-1.1988642656024142,-0.7342604891356421,0.4650508977078287,9.305600555083084,0.05897916697913378,0.4416000001973591,0.16601039101170612,FALSE,ns
Chryseobacterium,0.586532301743304,1,0.03919962736946528,0.21136541396979755,-2.138364458226402,-2.2791976970872287,-1.9723942197626894,0.3159544549472786,5.083826549101318,0.04464276541825017,0.4518000001621734,0.21136541396979755,FALSE,ns
Agrobacterium,0.23776433029082825,0.9992178208340988,0.053324271098506036,0.25074221308409256,-1.9891248561975097,-2.1467705485421007,-1.8171602284103754,0.3071302442201054,5.681533989943019,0.04713797320807553,0.4528000001587479,0.25074221308409256,FALSE,ns
Nocardioides,0.32825639539996493,1,0.056295630854478994,0.2556936545417628,-2.1724226658138273,-2.288760272114895,-2.032176262525871,0.264385825458203,4.0364340071340346,0.04341305615811214,0.4534000001566945,0.2556936545417628,FALSE,ns
Anoxybacillus,0.7680231703710961,1,0.062439417940452394,0.26144612897584846,-2.144614078984411,-2.2518831460474997,-2.022025240059797,0.26293717346956313,3.5414369303575253,0.043225456298635404,0.460000000134192,0.26144612897584846,FALSE,ns
Roseomonas,0.2988265544767891,0.9997158146646954,0.061197278379067375,0.262573017234479,-2.5590187907654887,-2.68836665329861,-2.4158604468759073,0.35330210292599507,3.496664861684131,0.05767745688976814,0.4430000001925017,0.262573017234479,FALSE,ns
Novosphingobium,0.35256300278876623,0.9998123732150398,0.07640823385063651,0.2812885698945789,-2.70735008385176,-2.825172687655672,-2.5756003113851635,0.3309726009883587,3.6730464250616395,0.051552519475642364,0.4475104980772641,0.2812885698945789,FALSE,ns
Afipia,0.42861931616983423,1,0.1331001470026526,0.3939682206202488,-2.78230678584179,-2.896198690840321,-2.657534429687315,0.30668481049427143,6.508136321913153,0.037539524416471896,0.4578000001416759,0.3939682206202488,FALSE,ns
Brevundimonas,0.3946979797502801,1,0.13013318361744294,0.39875655810309835,-2.1322499567060733,-2.2632788163359496,-1.9899520668967172,0.2930521850484604,8.944805210715238,0.03829294445785872,0.459600000135552,0.39875655810309835,FALSE,ns
Unknown genus123,0.3879429951242009,1,0.14233544288627153,0.42709794287562003,-0.9712804149315319,-1.179887878170291,-0.7354049386968056,0.40981548508809507,9.391178857405889,0.04973267219224235,0.4488000001724756,0.42709794287562003,FALSE,ns
Gemella,0.6900699542965062,1,0.14723996852629662,0.4272429462637455,-1.7084474299750205,-1.7919043402000918,-1.6056029588278298,0.19935974194413753,4.092313572292407,0.03398423086127697,0.466200000113184,0.4272429462637455,FALSE,ns
Massilia,0.414418792838873,1,0.15156009477421542,0.4371849112431634,-0.8260770895956835,-0.9972806544053512,-0.6265758900817104,0.3942997243828348,7.430183541855905,0.057326778706719955,0.4448000001862706,0.4371849112431634,FALSE,ns
Pseudomonas,0.24101261149420025,1,0.15048707870805758,0.44384314090177895,8.214461479204887,7.875620420059061,8.427291757667042,0.4166296234719278,10.013880840495727,0.04385541224536721,0.4676000001084558,0.44384314090177895,FALSE,ns
Enterobacter,0.7132336763304811,1,0.17297221171699992,0.46563404098039524,-1.9417854376787052,-2.022537430109784,-1.8344037601744985,0.17326087389537825,6.536705549852691,0.024894561391282093,0.4753049390946827,0.46563404098039524,FALSE,ns
Fusobacterium,0.6579060922964525,1,0.17898290913415538,0.4703769691066607,-1.5398821994920295,-1.6683416522095325,-1.3765890063760118,0.26475809744562806,7.540928304829178,0.03783216728914791,0.4608000001314747,0.4703769691066607,FALSE,ns
Unknown genus6,0.8961895723036443,1,0.22488098307658583,0.5161638684339576,-2.4629875237744656,-2.538493163416865,-2.381244726760092,0.23251693185983058,3.213987113953519,0.03885239154860725,0.4634000001226576,0.5161638684339576,FALSE,ns
Unknown genus20,0.871661233848801,1,0.24057815080894956,0.5286448662640859,-2.9770042381239454,-3.055487187135311,-2.890120525636764,0.2015299817559857,4.323615435441484,0.03104664467095785,0.4695060988822288,0.5286448662640859,FALSE,ns
Aerococcus,0.9101894606929682,1,0.2719948353527011,0.5801727156112362,-2.284187291200359,-2.3726500132503574,-2.1907201768145015,0.17795178019419922,3.675720651721506,0.03097506072457233,0.4698000001010352,0.5801727156112362,FALSE,ns
