taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,significant,direction
Acidovorax,0.05693272872402501,-0.15137400293458766,0.28201989124863114,0.38434192371277354,0.2018748694354776,-0.3938524360608459,0.8401055736958684,0.6938761299362255,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.15137400293458766,1,FALSE,ns
Acinetobacter,0.05052025051734682,-0.1507296911672814,0.33711726523482893,0.45861513936591125,0.1498595762579987,-0.32866270262181646,0.8809422034002214,0.7427144707580162,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.1507296911672814,1,FALSE,ns
Actinomyces,0.07811047872570406,-0.17460379331501183,0.3143813987880191,0.3926225849397181,0.24845769828250036,-0.44471153726885043,0.8039035225758038,0.6569572099547447,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.17460379331501183,1,FALSE,ns
Aerococcus,0.04954899254243308,-0.05272203660348714,0.2808401128459593,0.37706171092530977,0.176431322578234,-0.13982336332720502,0.860036498814454,0.8889247890398854,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.05272203660348714,1,FALSE,ns
Aeromonas,0.24979603141056722,-0.5148450138651467,0.28469255127806575,0.38140640609523585,0.8774238394687949,-1.3498593773922918,0.38073079981892544,0.1784136331071341,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5148450138651467,1,FALSE,ns
Afipia,-0.09951108037735512,0.23202592981781525,0.3315058875324253,0.42260414384024153,-0.3001789232706213,0.5490384635355795,0.7641917386079827,0.583541867777539,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.23202592981781525,1,FALSE,ns
Agrobacterium,-0.12125130998208057,0.26168732805320977,0.3043870298119667,0.3968670041809918,-0.39834584954878943,0.6593829300403792,0.6905719286994898,0.5103604260988175,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.26168732805320977,1,FALSE,ns
Anaerococcus,-0.03993723176633582,0.07568663498044156,0.281248528004572,0.38250283815908975,-0.14199978947333938,0.19787208728883246,0.8871440069662688,0.8433242229565356,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.07568663498044156,1,FALSE,ns
Anoxybacillus,-0.056602508019357414,0.08961109729682602,0.2821778631500167,0.3576449642974542,-0.20059159633392407,0.2505588117893819,0.8411159850869704,0.8023846524889662,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.08961109729682602,1,FALSE,ns
Arthrobacter,0.11810391954002782,-0.1860289675373647,0.3045880814226239,0.4098461961853983,0.3877496420359126,-0.45389946099002587,0.6983907795089339,0.650370888657271,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.1860289675373647,1,FALSE,ns
Bacillus,0.5510203686773668,-1.1204295844005865,0.34222613150194414,0.4719397479875622,1.6101060613316622,-2.374094551642035,0.10808220309062977,0.01801449911020222,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.1204295844005865,1,FALSE,ns
Blastococcus,-0.051893875011923364,0.014450886535770207,0.30152870971766094,0.40440298188931795,-0.1721026003146256,0.035733877302925786,0.8634396016580875,0.9715284751993221,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.014450886535770207,1,FALSE,ns
