feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacillus	Group	Tumor	-1.55173738069576	0.542819990365815	456	456	0.00445014456128209	0.12682911999654
Unknown.genus24	Group	Tumor	1.04340493747499	0.340580681706778	456	456	0.00245119804784062	0.12682911999654
Caulobacter	Group	Tumor	0.750056413128058	0.384421865803509	456	456	0.0522721331733694	0.572256865796492
Devosia	Group	Tumor	-0.78241517594142	0.399411582044915	456	456	0.0513466009586834	0.572256865796492
Kaistobacter	Group	Tumor	0.753058245274456	0.412709920068022	456	456	0.0687083010515315	0.572256865796492
Lactobacillus	Group	Tumor	0.912237962497305	0.501591902959996	456	456	0.0702771589574639	0.572256865796492
Stenotrophomonas	Group	Tumor	0.709084685398661	0.371524243051004	456	456	0.0575773714148055	0.572256865796492
Agrobacterium	Group	Tumor	0.573122704460542	0.391603087813893	456	456	0.144705845062629	0.761597512559742
Brachybacterium	Group	Tumor	-0.580905861767198	0.396786426132324	456	456	0.144570120484667	0.761597512559742
Mycobacterium	Group	Tumor	0.629982923312036	0.396246143673423	456	456	0.113254091877817	0.761597512559742
Pseudomonas	Group	Tumor	0.710163495882037	0.496311255036611	456	456	0.153838830943673	0.761597512559742
Roseomonas	Group	Tumor	0.499182825552768	0.354394694932518	456	456	0.16033631843363	0.761597512559742
Aeromonas	Group	Tumor	-0.502962011052576	0.371402218164677	456	456	0.177011273027884	0.773411196555651
Novosphingobium	Group	Tumor	0.511562002355516	0.389129765365784	456	456	0.189960644768055	0.773411196555651
Afipia	Group	Tumor	0.479004019217834	0.423666675671913	456	456	0.25941018969865	0.77878250757866
Brevundimonas	Group	Tumor	0.512372021430389	0.482117858284843	456	456	0.28902342347898	0.77878250757866
Corynebacterium	Group	Tumor	-0.494030819687639	0.40349216757598	456	456	0.222075190207753	0.77878250757866
Massilia	Group	Tumor	0.4607096738213	0.413951410766869	456	456	0.266904536259577	0.77878250757866
Nocardioides	Group	Tumor	0.474517994813312	0.402332243464768	456	456	0.239466291625269	0.77878250757866
Paracoccus	Group	Tumor	0.525293891253241	0.481461245669147	456	456	0.276411612680867	0.77878250757866
Rothia	Group	Tumor	-0.482511818868732	0.46504842467996	456	456	0.300582722223342	0.77878250757866
Unknown.genus123	Group	Tumor	0.537869171741397	0.486019827328249	456	456	0.269603027232609	0.77878250757866
Sphingobium	Group	Tumor	-0.376318022654694	0.378875514451684	456	456	0.321117318040682	0.79581248383995
Anaerococcus	Group	Tumor	0.283765834803485	0.375103822988486	456	456	0.450134205411192	0.88190328026348
Anoxybacillus	Group	Tumor	0.203880941806147	0.30343028108056	456	456	0.502317755597616	0.88190328026348
Chryseobacterium	Group	Tumor	0.332643915993434	0.424369018275874	456	456	0.433942133731099	0.88190328026348
Fusobacterium	Group	Tumor	0.266848480878695	0.420213124253858	456	456	0.526047570683479	0.88190328026348
Gemella	Group	Tumor	0.247528335665935	0.384705942063187	456	456	0.520599663447938	0.88190328026348
Janibacter	Group	Tumor	-0.313487259019256	0.372760789487925	456	456	0.401239796746971	0.88190328026348
Methylobacterium	Group	Tumor	-0.401244728046294	0.485604812994176	456	456	0.40951384756011	0.88190328026348
Microbacterium	Group	Tumor	-0.298355055759107	0.4226185679327	456	456	0.480932120698096	0.88190328026348
Prevotella	Group	Tumor	0.318089916730169	0.489692733067284	456	456	0.516626482992408	0.88190328026348
Ralstonia	Group	Tumor	0.278643506640536	0.417873314423242	456	456	0.505568557830235	0.88190328026348
Veillonella	Group	Tumor	-0.29570339294385	0.41554551416462	456	456	0.477441343787568	0.88190328026348
Acidovorax	Group	Tumor	-0.159677695268193	0.377043705602587	456	456	0.672131661995121	0.882540831485229
Acinetobacter	Group	Tumor	-0.109396578251794	0.491127547002426	456	456	0.82393368063919	0.882540831485229
Actinomyces	Group	Tumor	-0.0653176949146731	0.389754706372895	456	456	0.867057659003032	0.882540831485229
Aerococcus	Group	Tumor	0.124385207113587	0.350328693559019	456	456	0.722879648420038	0.882540831485229
Arthrobacter	Group	Tumor	-0.0902627413363701	0.423108983482737	456	456	0.83125938614034	0.882540831485229
Blastococcus	Group	Tumor	0.21224120852974	0.389599977195504	456	456	0.586448562037946	0.882540831485229
Bosea	Group	Tumor	-0.115948472472287	0.456876889601855	456	456	0.79977660241346	0.882540831485229
Cloacibacterium	Group	Tumor	0.1273833894429	0.376978128244777	456	456	0.735745873867215	0.882540831485229
Enterobacter	Group	Tumor	0.263438283653885	0.439107305248605	456	456	0.54914425124549	0.882540831485229
Escherichia.Shigella	Group	Tumor	-0.259129971374021	0.486991423336504	456	456	0.595174524725666	0.882540831485229
Lactococcus	Group	Tumor	-0.217899840050342	0.432673353906874	456	456	0.61502186222146	0.882540831485229
Leptotrichia	Group	Tumor	0.0690632933051985	0.379836890870377	456	456	0.855883456986414	0.882540831485229
Mesorhizobium	Group	Tumor	0.0966007818546722	0.425478982352113	456	456	0.82059691200994	0.882540831485229
Neisseria	Group	Tumor	0.153127975003547	0.422967937166338	456	456	0.717664827096684	0.882540831485229
Porphyromonas	Group	Tumor	0.0935943713612336	0.403499267515023	456	456	0.816780592065607	0.882540831485229
Propionibacterium	Group	Tumor	0.0705979170899905	0.411537437885162	456	456	0.863946686362192	0.882540831485229
Sphingomonas	Group	Tumor	0.203773671700989	0.451328202278505	456	456	0.652061894324514	0.882540831485229
Staphylococcus	Group	Tumor	-0.13141323080564	0.390629149599706	456	456	0.736869250000969	0.882540831485229
Streptococcus	Group	Tumor	0.198889139646007	0.50303167735424	456	456	0.692933075691926	0.882540831485229
Unknown.genus20	Group	Tumor	0.127885630903101	0.433392371381318	456	456	0.768202102334276	0.882540831485229
Unknown.genus41	Group	Tumor	0.179787139150648	0.318105875955182	456	456	0.572509356192893	0.882540831485229
Unknown.genus6	Group	Tumor	0.0703663446780259	0.359585724594511	456	456	0.845030012727615	0.882540831485229
Halomonas	Group	Tumor	-0.0433845709697683	0.393493170637348	456	456	0.912304594982076	0.912304594982076
