taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Friedmanniella,0.001965858506986865,0.2561496629525828,4.590190738556401e-4,0.025133552596681666,1.292722154738196,1.17624953168065,1.4013592729870537,0.2751313938704154,1.6465371407796,0.10165978137457661,0.4033193364674254,0.025133552596681666,TRUE,Tumor_enriched
Altererythrobacter,0.03058329701767455,0.8993737047305346,7.455021964385949e-4,0.030070697043327505,0.39640528174693657,0.30743386606280154,0.47579645384488956,0.21729685561762313,1.4828085110121316,0.09013576346480869,0.4238000002600399,0.030070697043327505,TRUE,Tumor_enriched
Kaistobacter,0.16608178949498473,1,0.0034914210634606167,0.05861083582542571,1.6264082971431177,1.5273250900928197,1.7337787508388356,0.21446788592376897,2.1409227044495545,0.05635904274933214,0.4298000002387054,0.05861083582542571,FALSE,ns
Caulobacter,0.21490348690461547,1,0.007264783884298491,0.07196681298090882,0.5886144006417986,0.5101743701219812,0.6685770625806091,0.1975196994428483,1.9463088157867716,0.05394063908466018,0.4374000002119894,0.07196681298090882,FALSE,ns
Methyloversatilis,0.060078304360615765,0.9533588577238643,0.010196940928168407,0.0728163462072971,-0.8547115046562404,-0.9372273883124951,-0.7677460787612587,0.18412184163275835,1.575375368844897,0.07358587875284991,0.4355128976390211,0.0728163462072971,FALSE,ns
Unknown genus3,0.15562280405871018,0.9991960332912925,0.009228429924907324,0.07628763874035996,0.30539518232051144,0.21655504062379105,0.3866500399808137,0.17565332278588386,1.5005567272298377,0.06721650064067572,0.44051189782153655,0.07628763874035996,FALSE,ns
Unknown genus39,0.08132807226403593,0.9976078249985665,0.009804406427887285,0.07918584187119085,0.1207365259334896,0.03972364526571326,0.19924517015908627,0.17219692444871004,1.4963198521566525,0.06303297364651025,0.4388000002071029,0.07918584187119085,FALSE,ns
Skermanella,0.01945664928028906,0.7179192482684813,0.015897104646129215,0.08382467009092914,-2.8714200605101636,-3.00035900438903,-2.741748875053802,0.2778964550692322,2.2100170065246196,0.06092328630797288,0.4180000002808879,0.08382467009092914,FALSE,ns
Rubellimicrobium,0.31062615667840165,1,0.0117370383041835,0.0862610514832409,0.7543982765109494,0.6724103841409317,0.8319037821313273,0.20306665517678635,1.7261059063926583,0.0649753254599453,0.4305138974566435,0.0862610514832409,FALSE,ns
Unknown genus3160,0.2820038356620064,1,0.01328715952946488,0.09276214424592316,1.423909728464901,1.3635538855218998,1.4863360545829591,0.13196630566871903,1.6719676514496875,0.04137167548677893,0.4524000001601176,0.09276214424592316,FALSE,ns
