taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,significant,direction
Bacillus,0.5757141412748832,-1.1675859828486606,0.26813042189599146,0.37354199611162525,2.1471421899981356,-3.1257154349513936,0.03231207574353373,0.0018877676534624576,1,0.25107309791050686,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.1675859828486606,0.25107309791050686,FALSE,ns
Acidovorax,0.14907279664307274,-0.3067620459398887,0.19684852158754002,0.2707222327015135,0.7572970090952852,-1.1331246897557583,0.44926479562257315,0.2577599294543576,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.3067620459398887,1,FALSE,ns
Acinetobacter,0.09907651635283837,-0.20676948535942002,0.2146345773321003,0.2897620334595469,0.4616055697285858,-0.7135837738669332,0.6445860860776602,0.476217597252115,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.20676948535942002,1,FALSE,ns
Actinomyces,0.07104786566005883,-0.15071218397386024,0.18639220613948304,0.22330940348537281,0.3811740154354497,-0.6749029894020212,0.7032751757608895,0.500424220697548,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.15071218397386024,1,FALSE,ns
Aerococcus,0.06176776868763479,-0.1483737947454488,0.19859790005760622,0.26845296644336514,0.31101924375694884,-0.5526994047083881,0.7559300097471274,0.5810132534251976,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.1483737947454488,1,FALSE,ns
Aeromonas,0.2732570594946777,-0.5794559038056728,0.21500457889151786,0.28702662436570975,1.270936000077243,-2.018822835986705,0.20441372090941637,0.04469078286764384,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5794559038056728,1,FALSE,ns
Afipia,-0.049352276479269645,0.05936502876194672,0.24916276314944694,0.3189317536855499,-0.19807244010080402,0.18613709069708234,0.8430814813998964,0.8525047319456389,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.05936502876194672,1,FALSE,ns
Agrobacterium,-0.07405200951485363,0.12873067383996636,0.23469957075304637,0.2995059542506387,-0.31551829974487694,0.42981006558634,0.7525208540656325,0.6677646131950525,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.12873067383996636,1,FALSE,ns
Alkanindiges,-0.08989763656124278,0.17117882046874422,0.16835938055227906,0.19727252805459206,-0.5339627424759247,0.8677276159880365,0.5936793990314737,0.38645984391395616,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.17117882046874422,1,FALSE,ns
Alloiococcus,-0.05073393947289251,0.09285142629204195,0.15977011033361702,0.20470354011667105,-0.31754337132868365,0.4535897436806474,0.7509832026764285,0.6505574584623105,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.09285142629204195,1,FALSE,ns
Altererythrobacter,-0.12081575582725594,0.2330150590007688,0.14775550314509064,0.1983080379129753,-0.8176734758137514,1.1750157051275159,0.41397273779266497,0.24121947851557649,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2330150590007688,1,FALSE,ns
Anaerococcus,-0.007066095036728056,0.005515737419713578,0.16250978944234903,0.22083899847999508,-0.04348104234812747,0.02497628343579554,0.9653371929882146,0.9800848548457,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.005515737419713578,1,FALSE,ns
Anoxybacillus,0.022225186871362275,-0.05306682639646555,0.1759736651612342,0.21039819788042738,0.12629836885535492,-0.25222091696158094,0.8995595660733107,0.8010985313354221,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.05306682639646555,1,FALSE,ns
Aquabacterium,-0.09362954072399259,0.17864262879424256,0.170510092006605,0.23250733596874115,-0.5491143639777386,0.7683311498535242,0.5831969343478631,0.4426899358654469,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.17864262879424256,1,FALSE,ns
Arthrobacter,0.1133803984271324,-0.24090835899392424,0.20845641376976895,0.2861297100915573,0.5439045811867229,-0.8419550661720417,0.5867747508243953,0.400698534306845,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.24090835899392424,1,FALSE,ns
Bacteroides,0.15174163190259016,-0.3120997164589239,0.17098771936348245,0.22825698662375732,0.887441697377229,-1.3673172553240047,0.37531334639842073,0.17287823919837933,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.3120997164589239,1,FALSE,ns
Bifidobacterium,0.13600112870676048,-0.33399483430375254,0.17409601782905262,0.22693921108625775,0.7811846037759573,-1.4717370026319683,0.4351180301223643,0.1425052830093484,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.33399483430375254,1,FALSE,ns
Blastococcus,0.016834933721148738,-0.0422863200960406,0.1937766736117743,0.25417396124310876,0.08687801997714656,-0.16636763218870862,0.9308074219850306,0.8680157343854944,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.0422863200960406,1,FALSE,ns
Blautia,-0.042132087851022536,0.075647723048301585,0.14518511390256897,0.18569301522482753,-0.2901956455349589,0.4073805520186703,0.7718053364569377,0.6841124145322748,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.075647723048301585,1,FALSE,ns
Bosea,0.09814495184043334,-0.20490635633460902,0.19659774520531584,0.2703595790051853,0.49921707768284,-0.7579030751881702,0.6178682818333879,0.4489022255895937,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.20490635633460902,1,FALSE,ns
Brachybacterium,0.29442604847136383,-0.6416073739056415,0.23334322315090442,0.3151612375630448,1.2617724418804175,-2.0358067472599464,0.20769536362884,0.04295338362524318,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.6416073739056415,1,FALSE,ns
Bradyrhizobium,0.060034811971748384,-0.13466478456889308,0.16995495438731814,0.22012146713870442,0.3532395521399882,-0.6117748819293358,0.7240774282430467,0.5412985966566053,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.13466478456889308,1,FALSE,ns
Brevibacterium,0.040849629949970274,-0.13295296398944753,0.21549594338107628,0.29020199238554756,0.18956101590150617,-0.45813939076204896,0.8497402504330764,0.6472985238774924,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.13295296398944753,1,FALSE,ns
Brevundimonas,-0.05977951613621932,0.11094257961869479,0.19726821664323535,0.2702250559059849,-0.3030367342161972,0.41055622783289675,0.7620006913144295,0.6817852225367566,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.11094257961869479,1,FALSE,ns
Burkholderia,-0.031345466328598866,0.05407448000345406,0.16801666879007549,0.2154075419067185,-0.18656164626000726,0.25103336459254905,0.852090853612675,0.8020153995714885,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.05407448000345406,1,FALSE,ns
Campylobacter,0.02741272519881502,-0.12253347439688266,0.18655426402587577,0.24934221177047652,0.14694236736938251,-0.4914269169541043,0.8832447787038615,0.6236026744949933,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.12253347439688266,1,FALSE,ns
Capnocytophaga,0.09574339329808337,-0.24615208384485757,0.20458079173539082,0.2722349998739022,0.46799796054128057,-0.9041897035975311,0.6400186853755941,0.3668763595732344,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.24615208384485757,1,FALSE,ns
Caulobacter,-0.09324568272685288,0.1778749127999621,0.17780132969601667,0.2369977000110784,-0.5244374881013159,0.7505343418592137,0.6002318550095476,0.45371020580045296,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1778749127999621,1,FALSE,ns
Cellulomonas,-0.056380022744761296,0.09499650100663926,0.17117699572687187,0.22961926156973905,-0.32936682002948947,0.4137131195232387,0.7420315152943469,0.6794976827392837,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.09499650100663926,1,FALSE,ns
Chryseobacterium,-0.01132325665773189,0.0014543761323612381,0.2318978216859224,0.30865075849423634,-0.04882864606235014,0.00471204457574141,0.9610776301650592,0.9962444846660692,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0014543761323612381,1,FALSE,ns
Cloacibacterium,0.03971719739903301,-0.08805084745180876,0.17357006781095569,0.22938440894004714,0.22882515343769472,-0.38385715863898184,0.8191089546828791,0.701443616258269,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.08805084745180876,1,FALSE,ns
Corynebacterium,0.28973288165761246,-0.5931998313663088,0.2898582837659127,0.389399761768287,0.999567367519496,-1.5233697850059122,0.31805759693219954,0.1290587217001162,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5931998313663088,1,FALSE,ns
Cupriavidus,0.008969259773249368,-0.09874447060324744,0.17367238277817273,0.21682058765000767,0.051644709594993995,-0.4554201779152126,0.9588369806007908,0.6492684094870622,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.09874447060324744,1,FALSE,ns
Delftia,-0.043015635069285865,0.06173963211520338,0.17958339177570995,0.24553219057311465,-0.2395301405322052,0.2514522921458583,0.8108033476061334,0.8015789753965568,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.06173963211520338,1,FALSE,ns
Devosia,0.2716671404674771,-0.5519507335886974,0.2013907657523257,0.2509568637148231,1.3489552981867037,-2.1993848879778444,0.17806770158112048,0.028859729673289262,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5519507335886974,1,FALSE,ns
Diaphorobacter,-0.7548239000983824,0.28956259771013454,0.44640217207899946,0.43375082786706903,-1.6909055271460502,0.6675782018308363,0.09246013684389778,0.5064731899962531,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.28956259771013454,1,FALSE,ns
Dietzia,-0.022459636041311442,0.036302819428879564,0.15405279217463383,0.2084660112570682,-0.14579181411948222,0.17414262982234083,0.8841504457160039,0.8618309952827201,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.036302819428879564,1,FALSE,ns
Enhydrobacter,-0.024711900377120316,-0.046642217242405526,0.19551180523036912,0.25868430476989995,-0.12639595009622356,-0.1803055553907449,0.8994772762055212,0.857077880012977,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.046642217242405526,1,FALSE,ns
Enterobacter,0.001269586904632178,-0.06290073826944657,0.25359912881181684,0.34730144314231426,0.00500627470835783,-0.18111280419779782,0.9960078536574789,0.856448323530557,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.06290073826944657,1,FALSE,ns
Enterococcus,0.1658906171455742,-0.3403976869448913,0.15477265790190578,0.19667042622166478,1.0718341301001302,-1.7308026096472346,0.2843945366528616,0.08484585577654279,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.3403976869448913,1,FALSE,ns
Escherichia/Shigella,0.13588480267170266,-0.2803860579971474,0.2305161714539269,0.28291990614444124,0.5894805636179059,-0.9910439382586242,0.5558547710865482,0.3227193299567167,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2803860579971474,1,FALSE,ns
Faecalibacterium,0.07290512773966977,-0.23228863745902933,0.1966892749344192,0.26501099807006206,0.37066142911949845,-0.8765245184187345,0.7110688695250005,0.3817096251615617,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.23228863745902933,1,FALSE,ns
Ferruginibacter,0.20392034571698825,-0.47411802739875586,0.16652279369004624,0.2264023101463969,1.2245791774100978,-2.094139530167251,0.2213890350135948,0.03681913492468103,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.47411802739875586,1,FALSE,ns
