feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Friedmanniella	Group	Tumor	0.806699313814368	0.221136535049787	456	456	0.000327899656466721	0.0436106543100739
Bacillus	Group	Tumor	-1.43673949475001	0.500504373740264	456	456	0.00428861815298653	0.142596553586802
Skermanella	Group	Tumor	1.02327035420922	0.349911940682304	456	456	0.00380136461139035	0.142596553586802
Unknown.genus24	Group	Tumor	0.943971590638747	0.324496242745663	456	456	0.00398563970601168	0.142596553586802
Altererythrobacter	Group	Tumor	0.608592716452852	0.217200303471966	456	456	0.0055175430163941	0.146766644236083
Methyloversatilis	Group	Tumor	0.558538461842106	0.204235292939162	456	456	0.0067350373638164	0.149293328231264
Wautersiella	Group	Tumor	0.695516650611089	0.265616565046776	456	456	0.00942641383798307	0.179101862921678
Unknown.genus39	Group	Tumor	0.578277676270322	0.234059927513646	456	456	0.0142233489650876	0.236463176544581
Alkanindiges	Group	Tumor	0.521190072713652	0.215957521785668	456	456	0.016598251997977	0.24528527952566
Unknown.genus3	Group	Tumor	0.483325310201637	0.20833475731719	456	456	0.0212319430716166	0.2823848428525
Rubrivivax	Group	Tumor	0.45610091771137	0.200756537823029	456	456	0.0240286706655784	0.290528472592903
Aquabacterium	Group	Tumor	0.534667623031274	0.261956735078007	456	456	0.0424025287595461	0.365998136035882
Blautia	Group	Tumor	0.385920639301579	0.188487577176889	456	456	0.0417644198160023	0.365998136035882
Kaistobacter	Group	Tumor	0.566167493023474	0.279889865407212	456	456	0.0442638771609833	0.365998136035882
Unknown.genus3160	Group	Tumor	0.336335556792086	0.16251128780366	456	456	0.0396203615466775	0.365998136035882
Unknown.genus35	Group	Tumor	0.50464820079207	0.252428156531931	456	456	0.0467817166361654	0.365998136035882
Unknown.genus476	Group	Tumor	0.499980960732728	0.238207893992701	456	456	0.0369285278519124	0.365998136035882
Caulobacter	Group	Tumor	0.525784678041706	0.267716129584626	456	456	0.0507548334778726	0.371508825303783
Finegoldia	Group	Tumor	0.460952408783146	0.245248161683139	456	456	0.0614525876442347	0.371508825303783
Flavobacterium	Group	Tumor	0.627324178792546	0.324763919400972	456	456	0.0546499265451547	0.371508825303783
Limnohabitans	Group	Tumor	0.451220963184419	0.239224434774641	456	456	0.0605470292049227	0.371508825303783
Stenotrophomonas	Group	Tumor	0.591827560031389	0.311778234642771	456	456	0.0589340261911767	0.371508825303783
Alloiococcus	Group	Tumor	0.412581555545107	0.224558727682742	456	456	0.067472942504727	0.390169624049074
Devosia	Group	Tumor	-0.516602861176143	0.291654414870036	456	456	0.0778552212098266	0.398259400804113
Klebsiella	Group	Tumor	0.467046765557299	0.263136033474192	456	456	0.0772503201112406	0.398259400804113
Tepidimonas	Group	Tumor	0.317487017762723	0.1784039439751	456	456	0.0764798960425971	0.398259400804113
Lactobacillus	Group	Tumor	0.85439431325513	0.503809578085204	456	456	0.0912819531050481	0.418637922861083
Rubellimicrobium	Group	Tumor	0.462015436072414	0.273011937456018	456	456	0.091276764500242	0.418637922861083
Unknown.genus125	Group	Tumor	0.365759268912701	0.215177377787307	456	456	0.0905376334258535	0.418637922861083
Aeromonas	Group	Tumor	-0.528236095622141	0.355740881371425	456	456	0.138960276795141	0.449361260353453
Brachybacterium	Group	Tumor	-0.598866113426128	0.385458583049629	456	456	0.1216619911202	0.449361260353453
Burkholderia	Group	Tumor	0.350191281361192	0.233908050725974	456	456	0.135748000379453	0.449361260353453
Cellulomonas	Group	Tumor	0.420567958352106	0.274099784828718	456	456	0.126333476756112	0.449361260353453
Diaphorobacter	Group	Tumor	0.590411391332888	0.400511513022875	456	456	0.141828435413032	0.449361260353453
Ferruginibacter	Group	Tumor	-0.376223888464449	0.26261094106975	456	456	0.153339735033788	0.449361260353453
Microbispora	Group	Tumor	0.3508177571447	0.246120613283503	456	456	0.155418180272623	0.449361260353453
Moryella	Group	Tumor	0.266855701151025	0.179805227047914	456	456	0.139159617035774	0.449361260353453
Mycobacterium	Group	Tumor	0.555276809353025	0.377722993085901	456	456	0.14292919680602	0.449361260353453
Novosphingobium	Group	Tumor	0.410231630318182	0.262143968718962	456	456	0.118997062030334	0.449361260353453
Pseudomonas	Group	Tumor	0.581226096562025	0.406065520534715	456	456	0.153702267119605	0.449361260353453
Ruminococcus	Group	Tumor	0.392248301135687	0.274379517093961	456	456	0.154211526449377	0.449361260353453
Shewanella	Group	Tumor	0.373862167282819	0.253831348399678	456	456	0.142169606732669	0.449361260353453
Streptomyces	Group	Tumor	0.480688400760695	0.294586020618237	456	456	0.104120319847864	0.449361260353453
Unknown.genus1	Group	Tumor	0.327828822714254	0.211433764474372	456	456	0.12241371998725	0.449361260353453
