taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Staphylococcus,-0.5932092207949756,0.7607893310387384,0.43071432444014074,0.009590056405417116,-1.3772683821603846,79.3310590549804,0.21760231585870699,2.7012071675361553e-10,0.9348840236892597,3.13340031434194e-8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.7607893310387384,3.13340031434194e-8,TRUE,FALSE,TRUE,FALSE,Tumor_enriched,ns
Escherichia/Shigella,0.14441327521373556,0.4988029313491102,0.395694851400616,0.009632214501941705,0.3649612187334888,51.78486538568667,0.7336182293689077,8.322637019486179e-7,1,4.8271294713019836e-5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.4988029313491102,4.8271294713019836e-5,TRUE,FALSE,TRUE,FALSE,Tumor_enriched,ns
Leuconostoc,-2.726631428610299,3.117750745901161,0.702615997042509,0.013220185011116674,-3.880685096962481,235.83261075994673,0.06044438176580127,1.797962229737938e-5,0.4658615273412019,6.95212062165336e-4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3.117750745901161,6.95212062165336e-4,TRUE,FALSE,TRUE,FALSE,Tumor_enriched,ns
Unknown genus41,-0.9451949936814557,-0.4364033591363111,0.7271579072005003,0.009837341404898784,-1.2998483332463242,-44.36192068306094,0.32328982904598025,5.077482691313384e-4,1,0.014724699804808814,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-0.4364033591363111,0.014724699804808814,TRUE,FALSE,TRUE,FALSE,NAT_enriched,ns
Aggregatibacter,0.32875991486635914,-0.19252651561879694,0.07528225105702356,0.06073742209032579,4.367030877136438,-3.169817041830994,3.716071139162221e-4,0.005302680447130863,0.013848079467948173,0.12302218637343602,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.19252651561879694,0.12302218637343602,FALSE,FALSE,FALSE,FALSE,ns,ns
Aliidiomarina,0.3378504901724919,-0.18339977120388143,0.07566600969882137,0.06152951865206091,4.465023218711566,-2.980679440074549,2.9922592629153905e-4,0.008014979861300198,0.013848079467948173,0.15495627731847048,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.18339977120388143,0.15495627731847048,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetivibrio,0.19259878282775436,-0.31658874234906553,0.10964304305646531,0.12072970002218668,1.756598298065911,-2.6222937876171772,0.0981069579858614,0.024740279983320755,0.5605363115120463,0.3068839456202281,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.31658874234906553,0.3068839456202281,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinopolymorpha,0.45735759108758195,-0.1965271848476169,0.08836331448627313,0.07862358548296376,5.175876366188488,-2.4995958100918787,1.7843157343388772e-4,0.026609056360786545,0.013848079467948173,0.3068839456202281,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.1965271848476169,0.3068839456202281,FALSE,FALSE,FALSE,FALSE,ns,ns
Adhaeribacter,0.3326345836517983,-0.1605533160888442,0.07936470015079933,0.06895465469451131,4.191215780060478,-2.3283898208197975,5.488251830179612e-4,0.03174661506416153,0.013848079467948173,0.3068839456202281,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.1605533160888442,0.3068839456202281,FALSE,FALSE,FALSE,FALSE,ns,ns
Algoriphagus,0.3252869643838547,-0.3564627380801042,0.12277725303552646,0.13671312588902695,2.64940741335637,-2.6073775708226643,0.020034626114310342,0.029265524027958914,0.1936680524383333,0.3068839456202281,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.3564627380801042,0.3068839456202281,FALSE,FALSE,FALSE,FALSE,ns,ns
Bosea,-0.4484279342055743,1.3780096303654872,0.07209044979239763,0.06324537721192296,-6.220351454276315,21.788305977653433,0.10147640122200838,0.029173588051167446,0.5605363115120463,0.3068839456202281,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.3780096303654872,0.3068839456202281,FALSE,FALSE,FALSE,FALSE,ns,ns
Sphingomonas,-2.193099576155959,3.113516634152272,1.0188551746004169,1.0525593811753116,-2.1525135572050926,2.9580436884004104,0.07929530277138401,0.026365010197529706,0.5214315226323107,0.3068839456202281,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3.113516634152272,0.3068839456202281,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinobaculum,0.19723853955685328,-0.2616859219446179,0.10809146540879372,0.11875350416622789,1.8247374000427516,-2.2036058959432236,0.08468508889600868,0.048963177187776104,0.5214315226323107,0.4369021964447714,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2616859219446179,0.4369021964447714,FALSE,FALSE,FALSE,FALSE,ns,ns
Alistipes,0.2815732797327625,-0.2472470510049126,0.10428639924813397,0.11359874625723783,2.7000000169034584,-2.1764945402217366,0.014200059042297307,0.05352548195568231,0.16472068489064876,0.4434968504899392,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2472470510049126,0.4434968504899392,FALSE,FALSE,FALSE,FALSE,ns,ns
Afifella,0.3357820050796844,-0.1401276702937809,0.08151541660465271,0.07134950012467058,4.11924540247665,-1.9639614860501151,7.162799724800779e-4,0.06610199703370313,0.013848079467948173,0.5111887770606376,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.1401276702937809,0.5111887770606376,FALSE,FALSE,FALSE,FALSE,ns,ns
5-7N15,0.5280182225473351,-0.2950000613090022,0.13670114652581664,0.14974661980874696,3.8625734748143934,-1.9699947931096522,0.0019602699086239137,0.08220597357999877,0.032484472771482004,0.5141475356493888,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.2950000613090022,0.5141475356493888,FALSE,FALSE,FALSE,FALSE,ns,ns
Abiotrophia,0.10861128747032736,-0.19226405203061786,0.10646295748648651,0.08649090949345035,1.0201791311697643,-2.222939418219175,0.330571994388712,0.08642837667732378,1,0.5141475356493888,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.19226405203061786,0.5141475356493888,FALSE,FALSE,FALSE,FALSE,ns,ns
Acetobacterium,0.4499820215163867,-0.29896977730129837,0.1340614170280529,0.15443473365207644,3.356536365882408,-1.9358972572507078,0.00515557492001909,0.08864612683610151,0.06644963230246827,0.5141475356493888,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.29896977730129837,0.5141475356493888,FALSE,FALSE,FALSE,FALSE,ns,ns
