taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Sphingomonas,0.04132684406834849,0.6937109017659283,0.03904342651367188,0.6599666672523575,-1.5236088025792327,-2.7367240094082037,3.2501429865066824,5.3944938923050305,7.8873461433198075,0.6456037176552373,0.2526042129513165,0.04132684406834849,0.6937109017659283,0.03904342651367188,0.6599666672523575,0.6599666672523575,FALSE,ns
Abiotrophia,0.030075145236645756,0.927483868358161,0.01756286621093751,0.7932988060845272,5.66504688510753,6.37464796098595,5.19469688576008,-1.8466837282696673,2.5704150474635927,-0.5973343581778403,0.1469441824493861,0.030075145236645756,0.927483868358161,0.01756286621093751,0.7932988060845272,0.7932988060845272,FALSE,ns
Brevundimonas,0.07794242204693941,0.8468629717569712,0.0907402038574219,0.8141991057953277,-2.111865848913766,-3.060804694129402,-0.6324807434614721,3.618628108308874,6.767977275206791,0.5529901615961015,0.282184693279934,0.07794242204693941,0.8468629717569712,0.0907402038574219,0.8141991057953277,0.8141991057953277,FALSE,ns
Anaerococcus,0.21865212765203543,0.9245814827633887,0.23101043701171883,0.8862957259449263,-2.195222508510448,-2.9117931449519068,-1.3918324889224714,1.78138837807038,5.435723472646946,0.30304519953984993,0.3307291936778557,0.21865212765203543,0.9245814827633887,0.23101043701171883,0.8862957259449263,0.8862957259449263,FALSE,ns
Alcaligenes,0.03495944331762527,0.8912458161266316,0.04677200317382816,0.908366896614196,5.533585676409097,6.139908717065932,2.968843336277939,-2.9504140103341636,6.306387026266572,-0.5230100434100028,0.2343750522850191,0.03495944331762527,0.8912458161266316,0.04677200317382816,0.908366896614196,0.8912458161266316,FALSE,ns
Erwinia,0.23670010477305606,0.9452021492029667,0.2846527099609376,0.9145003424750434,-2.2585686654232386,-3.069751906529768,-1.4478867355148939,1.7912611112359365,5.527244862081088,0.28224429658712047,0.3407022356470233,0.23670010477305606,0.9452021492029667,0.2846527099609376,0.9145003424750434,0.9145003424750434,FALSE,ns
Roseomonas,0.24759238802246472,0.9615616378648326,0.28488540649414074,0.9172909344429577,-2.296729016630274,-2.893293386851572,-1.5277586540961678,1.7226797312793432,5.915917094737615,0.269797985293368,0.34505210755088905,0.24759238802246472,0.9615616378648326,0.28488540649414074,0.9172909344429577,0.9172909344429577,FALSE,ns
Chryseobacterium,0.26328760509733695,0.942333552438034,0.279613494873047,0.9218336818194148,-2.263044365481128,-2.9232660532074366,-1.4401396544897844,1.7799554904158583,5.598515136697381,0.3084771196052597,0.3398437752147022,0.26328760509733695,0.942333552438034,0.279613494873047,0.9218336818194148,0.9218336818194148,FALSE,ns
Alishewanella,0.10843546570523514,0.9599486293366166,0.09583663940429694,0.9224478436754897,5.742650785504722,6.406263697182261,5.215777587051331,-1.4249827242723665,3.1532201385674776,-0.34827498624854714,0.24837455983818071,0.10843546570523514,0.9599486293366166,0.09583663940429694,0.9224478436754897,0.9224478436754897,FALSE,ns
Caulobacter,0.2550140244891133,0.9433650290704951,0.281108856201172,0.9284591190398686,-2.4561259210689546,-3.042629230932307,-1.6136546145410708,1.751417394111293,5.670130565946889,0.28062245518076884,0.3615084736733485,0.2550140244891133,0.9433650290704951,0.281108856201172,0.9284591190398686,0.9284591190398686,FALSE,ns
Enhydrobacter,0.5059977300995169,0.9522631365101284,0.45750808715820324,0.9370119747145351,-2.2473013940606013,-2.5574969289427907,-1.919723157733582,0.6256023458787965,5.230135736323883,0.11617068518258446,0.4434330379836146,0.5059977300995169,0.9522631365101284,0.45750808715820324,0.9370119747145351,0.9370119747145351,FALSE,ns
Unknown genus476,0.37535342936905747,0.971806895846254,0.37825775146484386,0.942610858735584,-2.2655179730297013,-2.7443387660955985,-1.5698395058554286,1.2746871644921294,6.725748465685964,0.1735944016439214,0.38541668375289495,0.37535342936905747,0.971806895846254,0.37825775146484386,0.942610858735584,0.942610858735584,FALSE,ns
Rhodobaca,0.4869378639576438,0.9873876520747691,0.45116424560546886,0.955843736392595,-1.8574479383241522,-2.4251216061596006,-1.3812036336412463,0.923366367158164,6.099660730164595,0.13214264962932976,0.4083225101174485,0.4869378639576438,0.9873876520747691,0.45116424560546886,0.955843736392595,0.955843736392595,FALSE,ns
Agrococcus,0.28364480294093547,0.9596164592506794,0.22219848632812514,0.9633871730787931,5.498210578377469,5.897924262625332,5.227925232501502,-1.0267256460496181,3.777061423310811,-0.20556908970616822,0.2990897606812984,0.28364480294093547,0.9596164592506794,0.22219848632812514,0.9633871730787931,0.9596164592506794,FALSE,ns
Janthinobacterium,0.516316493694596,0.9756623475638591,0.49308013916015636,0.9633217221214658,-2.3134112124017046,-2.7598289822636657,-1.7684233267731573,0.6675901962171,5.846631118145997,0.13312703973836207,0.4226267992071726,0.516316493694596,0.9756623475638591,0.49308013916015636,0.9633217221214658,0.9633217221214658,FALSE,ns
