taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Sphingomonas,0.07262834723019569,0.6530301125501966,0.07813262939453128,0.6475171344184177,-0.41335330779296164,-1.4497684483441242,4.295447426547122,5.239643875377219,8.449039527781903,0.5722437875949593,0.308192489430374,0.07262834723019569,0.6530301125501966,0.07813262939453128,0.6475171344184177,0.6475171344184177,FALSE,ns
Brevundimonas,0.12756695766654452,0.7465183478206746,0.1518783569335938,0.7348830780849062,-0.9347268495828018,-1.6629210961452028,0.3555751067440571,2.9337656931533305,6.518371900196802,0.4662541461403753,0.3164062799813165,0.12756695766654452,0.7465183478206746,0.1518783569335938,0.7348830780849062,0.7348830780849062,FALSE,ns
Aerococcus,0.18663726085184376,0.8030534455246742,0.21247482299804696,0.7790991432646401,-1.0212944199229552,-1.8045657044019068,-0.04967738435350544,2.1389708161700494,5.530565113538121,0.3951693965460403,0.31250003082580924,0.18663726085184376,0.8030534455246742,0.21247482299804696,0.7790991432646401,0.7790991432646401,FALSE,ns
Pseudomonas,0.10473859510653567,0.9095964129507049,0.1929244995117189,0.9740829467773439,6.163655583121296,6.61016009854233,1.4816772897327297,-4.719090676904582,9.123975556199992,-0.46652238056375434,0.3437500244649305,0.10473859510653567,0.9095964129507049,0.1929244995117189,0.9740829467773439,0.9095964129507049,FALSE,ns
Lactobacillus,0.2551262982731424,0.9249992160745317,0.30966567993164074,0.9268356959025066,0.8703250419869581,4.40394136717052,0.1239459169187569,-1.9803450466306751,10.089678742665319,-0.22623948685299405,0.39921978073290676,0.2551262982731424,0.9249992160745317,0.30966567993164074,0.9268356959025066,0.9249992160745317,FALSE,ns
Hydrogenophilus,0.25586393872221147,0.9268090597309955,0.37187194824218767,0.9587898254394532,-1.0170714677599024,-0.6999422151037331,-1.282541517861536,-1.3284041067522416,6.776626985947056,-0.19328994752101566,0.40104168121798367,0.25586393872221147,0.9268090597309955,0.37187194824218767,0.9587898254394532,0.9268090597309955,FALSE,ns
Unknown genus476,0.46754338437128884,0.9447391699279507,0.4697532653808595,0.9276134579464047,-1.157159396676156,-1.4535734096890165,-0.7128397315096553,0.8588110692808071,6.827788099067811,0.13457492132453897,0.4244791775857304,0.46754338437128884,0.9447391699279507,0.4697532653808595,0.9276134579464047,0.9276134579464047,FALSE,ns
Petrobacter,0.29281510808269334,0.935164102415784,0.3921051025390626,0.9635626475016277,-1.0586086175043974,-0.7671231379235577,-1.3782098972500014,-1.4065527298649894,7.006845982900972,-0.19680670858562194,0.4005201706430853,0.29281510808269334,0.935164102415784,0.3921051025390626,0.9635626475016277,0.935164102415784,FALSE,ns
Leuconostoc,0.5447615667198895,0.9711135158051469,0.5019836425781251,0.9523490010309278,-0.577424547246034,-0.9441323079164032,-0.2664751056152239,0.6255333986420606,6.2318201090069785,0.10395082182200754,0.4348958426902138,0.5447615667198895,0.9711135158051469,0.5019836425781251,0.9523490010309278,0.9523490010309278,FALSE,ns
Xanthomonas,0.4538595007142735,0.9701139536575879,0.4683914184570314,0.9549734794467651,-0.754935860434002,-1.2533457949712892,-0.11188652962716805,1.2710284219549166,5.490838224495635,0.19839341144984254,0.392717831192158,0.4538595007142735,0.9701139536575879,0.4683914184570314,0.9549734794467651,0.9549734794467651,FALSE,ns
Rhodobaca,0.6004426617928978,0.9601851853569265,0.6053848266601564,0.9551249971028795,-0.6182088369909247,-0.92007876676292,-0.21140395931367895,0.6952158683468905,5.89189197700828,0.11498924176814507,0.44993498762065043,0.6004426617928978,0.9601851853569265,0.6053848266601564,0.9551249971028795,0.9551249971028795,FALSE,ns
Lysobacter,0.5295351789959051,0.9618405020363814,0.5508003234863282,0.9567500402056982,-1.0708318898324611,-1.3618948065029404,-0.6396155622391726,0.7600380095730586,5.93387742678446,0.10678815981390988,0.44083225813110555,0.5295351789959051,0.9618405020363814,0.5508003234863282,0.9567500402056982,0.9567500402056982,FALSE,ns
Escherichia/Shigella,0.41386459059289016,0.9666569892900193,0.4633026123046876,0.9583166725615151,-0.449712275137399,-1.1271508459278143,0.5840653698009683,1.8715795726656435,8.142465421052353,0.21921658810047412,0.3945312655950472,0.41386459059289016,0.9666569892900193,0.4633026123046876,0.9583166725615151,0.9583166725615151,FALSE,ns
Acinetobacter,0.36887958637368257,0.964403064827275,0.5130920410156251,0.9763994216918945,0.8128002364022615,4.415586326738609,0.16532117546862324,-1.9427729810706493,8.260087495259382,-0.2471602595229383,0.3841146006356435,0.36887958637368257,0.964403064827275,0.5130920410156251,0.9763994216918945,0.964403064827275,FALSE,ns
Microbacterium,0.590489447301087,0.9647450466092058,0.6526451110839845,0.96921539306640625,-0.7467361103917325,-0.6227207779603958,-0.85503149908934,-0.36701257118150554,6.418104369291202,-0.05789826015121119,0.4713541707272211,0.590489447301087,0.9647450466092058,0.6526451110839845,0.96921539306640625,0.9647450466092058,FALSE,ns
Staphylococcus,0.40128414754303654,0.9865427013750662,0.41065597534179704,0.9770593504620414,0.3191027358618994,-0.49038257668415053,1.477627464501328,1.9021740549041795,7.400956705586516,0.2802776430406215,0.36979168640150295,0.40128414754303654,0.9865427013750662,0.41065597534179704,0.9770593504620414,0.9770593504620414,FALSE,ns
Bacteroides,0.5616477782253468,0.9781748784210386,0.6163978576660157,0.98879241943359375,-0.9831408077595833,-1.0684658678606649,-0.9214490629541467,-0.2554709268432749,6.95689136514884,-0.035534298671053496,0.4765625033186592,0.5616477782253468,0.9781748784210386,0.6163978576660157,0.98879241943359375,0.9781748784210386,FALSE,ns
Methylobacterium,0.40121134509089673,0.9836372346951303,0.48278808593750017,0.9928503036499023,-0.6526250484315375,-0.5642447843071272,-0.7453350556955716,-1.0212333969663634,7.468749075974824,-0.11517861033866951,0.44083225813110555,0.40121134509089673,0.9836372346951303,0.48278808593750017,0.9928503036499023,0.9836372346951303,FALSE,ns
Neisseria,0.6348068735212699,0.9860288986537847,0.6715736389160157,0.9949086507161459,-0.6884822080870041,-0.6705618692021105,-0.7023233589682061,-0.6605575468501979,5.234217524150631,-0.1322249365131395,0.44270834153547506,0.6348068735212699,0.9860288986537847,0.6715736389160157,0.9949086507161459,0.9860288986537847,FALSE,ns
Bosea,0.7628783246261948,0.987847449405592,0.7170448303222657,0.9861170206314478,-0.9645057611702113,-1.0746720734915307,-0.8258611120372805,0.3745022307875159,6.398485519239781,0.0494557918437859,0.477864586466877,0.7628783246261948,0.987847449405592,0.7170448303222657,0.9861170206314478,0.9861170206314478,FALSE,ns
Rubrobacter,0.5922153714721459,0.9885638204513045,0.6374206542968751,0.9907213846842448,0.09921432042309775,-0.035844506505172014,0.21712250944036704,-0.5070038037007398,8.03778013312313,-0.06949198138041081,0.4629388869159221,0.5922153714721459,0.9885638204513045,0.6374206542968751,0.9907213846842448,0.9885638204513045,FALSE,ns
Unknown genus41,0.6796437257308673,0.9940482256818305,0.6734237670898439,0.990605202699319,-0.5942267177661691,-0.8985888401568767,-0.3241747057977076,0.4616151449473067,5.501204136871676,0.08155300979840116,0.46354167184521583,0.6796437257308673,0.9940482256818305,0.6734237670898439,0.990605202699319,0.990605202699319,FALSE,ns
Geobacillus,0.6119243091376716,0.9943807299785353,0.628673553466797,0.9979953765869141,-0.924259943451478,-0.8487364204640242,-1.0354885232884747,-0.47068284415204165,6.651602430295104,-0.07094151809229167,0.4668400567090745,0.6119243091376716,0.9943807299785353,0.628673553466797,0.9979953765869141,0.9943807299785353,FALSE,ns
Paracoccus,0.7444239711940264,0.9987161681807153,0.6898765563964845,0.9946575164794922,-0.4881480762193542,-0.516928833216979,-0.4297653205047123,-0.2117764890714362,7.330972657033223,-0.02700882940280616,0.4850455157633362,0.7444239711940264,0.9987161681807153,0.6898765563964845,0.9946575164794922,0.9946575164794922,FALSE,ns
