feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingomonas	Group	Tumor	2.68180963658224	0.839389167642175	24	7	0.00853096261536034	0.597167383075224
Abiotrophia	Group	Tumor	-0.447146834024143	0.18102832046873	24	21	0.0311193455569714	0.688447873904421
Alcaligenes	Group	Tumor	-0.592909245830683	0.244383721785406	24	17	0.0336389607808709	0.688447873904421
Brevundimonas	Group	Tumor	0.624527790312593	0.285048028672013	24	4	0.039339878508824	0.688447873904421
X5.7N15	Group	Tumor	0.316699327963266	0.193736937817776	24	15	0.130380718262005	0.807453876140805
Actinomycetospora	Group	Tumor	0.363504359172514	0.247339935886313	24	22	0.155811898290068	0.807453876140805
Afipia	Group	Tumor	0.343629029399092	0.230145927120228	24	22	0.149616821574755	0.807453876140805
Bacteroides	Group	Tumor	-0.356055043720775	0.242887880373159	24	3	0.170663128057391	0.807453876140805
Faecalibacterium	Group	Tumor	-0.142018288708584	0.0974638515015434	24	3	0.173025830601601	0.807453876140805
Hydrogenophilus	Group	Tumor	-1.04140198752477	0.640267964312025	24	3	0.118083023988348	0.807453876140805
Lactobacillus	Group	Tumor	-1.2099379922469	0.765659140785207	24	9	0.142353696625525	0.807453876140805
Methylobacterium	Group	Tumor	-1.14761497519276	0.692468606232083	24	5	0.111656117478076	0.807453876140805
Microbacterium	Group	Tumor	-0.357372228938544	0.227713466717919	24	4	0.144855264740833	0.807453876140805
Petrobacter	Group	Tumor	-0.633130322287907	0.379525326848975	24	3	0.109444966459312	0.807453876140805
Staphylococcus	Group	Tumor	1.46460780062401	0.982481433489788	24	8	0.150233702990493	0.807453876140805
Actinoplanes	Group	Tumor	0.295131767419868	0.223713950197051	24	21	0.200656343388792	0.862706696880848
Leuconostoc	Group	Tumor	0.649004216883904	0.511844602445999	24	4	0.230989024627767	0.862706696880848
Neisseria	Group	Tumor	-0.752011134510013	0.592090924208716	24	4	0.217320532870519	0.862706696880848
Unknown.genus476	Group	Tumor	0.15128352864003	0.120181143496236	24	3	0.23416324629623	0.862706696880848
Actinomyces	Group	Tumor	0.175983935473205	0.163151830905581	24	21	0.303828013535605	0.880065304879846
Actinopolymorpha	Group	Tumor	0.278117000881236	0.244432381841732	24	15	0.279377074892275	0.880065304879846
Aeromicrobium	Group	Tumor	0.246652786813147	0.216782815000044	24	20	0.279385064941016	0.880065304879846
Escherichia.Shigella	Group	Tumor	0.461391824681073	0.448055124887878	24	6	0.314309037457088	0.880065304879846
Pseudomonas	Group	Tumor	-1.17832445863621	1.09921986831457	24	14	0.306691305116334	0.880065304879846
Rhodobaca	Group	Tumor	0.168290308884432	0.155163298532119	24	4	0.301297389292456	0.880065304879846
Achromobacter	Group	Tumor	0.193857047672303	0.196282596860574	24	21	0.344554526090422	0.903774999617237
Arthrobacter	Group	Tumor	-0.247932700893266	0.260958295335208	24	3	0.352390228941585	0.903774999617237
Lysobacter	Group	Tumor	0.156697074718289	0.164584477020992	24	3	0.361509999846895	0.903774999617237
Acetobacter	Group	Tumor	0.165745915143207	0.224462292877111	24	21	0.475734782354669	0.918036595434844
Acidaminococcus	Group	Tumor	0.134655476074409	0.20709044059379	24	21	0.528892818964969	0.918036595434844
Acidovorax	Group	Tumor	0.142173501332734	0.19301823352954	24	21	0.476793160786405	0.918036595434844
Acinetobacter	Group	Tumor	0.226235998064072	0.378807089743568	24	22	0.556449548907417	0.918036595434844
Actinomadura	Group	Tumor	-0.171205006741564	0.25910896769686	24	18	0.522372881674868	0.918036595434844
Aequorivita	Group	Tumor	-0.122322756208857	0.143801473990833	24	21	0.41310472973882	0.918036595434844
Aeribacillus	Group	Tumor	0.170675638084372	0.270971786735243	24	20	0.541645093030831	0.918036595434844
Alicyclobacillus	Group	Tumor	0.126518207326808	0.215955515007386	24	21	0.563936765767118	0.918036595434844
Alistipes	Group	Tumor	-0.142876833868037	0.221796103708162	24	21	0.532660375249264	0.918036595434844
Bacillus	Group	Tumor	-0.666826711238583	0.86833806033273	24	9	0.458694409004984	0.918036595434844
Corynebacterium	Group	Tumor	0.915568611101164	1.19025101929623	24	12	0.457960026628801	0.918036595434844
