feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,significant,direction
X5.7N15,Group,Tumor,0.297564862659769,0.157567046561397,24,15,0.0855995740162548,0.613195768374912,FALSE,ns
Abiotrophia,Group,Tumor,-0.334107136792404,0.160545159188017,24,21,0.0615833554795222,0.613195768374912,FALSE,ns
Achromobacter,Group,Tumor,0.18027313146462,0.127432409347331,24,21,0.184846826703216,0.613195768374912,FALSE,ns
Actinomyces,Group,Tumor,0.160788133653438,0.114426553254957,24,21,0.187579517690052,0.613195768374912,FALSE,ns
Actinomycetospora,Group,Tumor,0.357084369085328,0.223904025335733,24,22,0.125021227000782,0.613195768374912,FALSE,ns
Actinoplanes,Group,Tumor,0.319288405926272,0.180376310777367,24,21,0.0905654046842874,0.613195768374912,FALSE,ns
Actinopolymorpha,Group,Tumor,0.2785202999028,0.176461300127071,24,15,0.142786666919011,0.613195768374912,FALSE,ns
Aeromicrobium,Group,Tumor,0.242258872040038,0.145529536573013,24,20,0.124172638643758,0.613195768374912,FALSE,ns
Afipia,Group,Tumor,0.32685640512287,0.187294958460819,24,22,0.0949144114720177,0.613195768374912,FALSE,ns
Alcaligenes,Group,Tumor,-0.50843960142399,0.201619787815249,24,17,0.0283857872185885,0.613195768374912,FALSE,ns
Anaerococcus,Group,Tumor,0.341517265885247,0.263991493998263,24,2,0.209199111837823,0.613195768374912,FALSE,ns
Bacteroides,Group,Tumor,-0.336732190336705,0.227422054885303,24,3,0.166764776712751,0.613195768374912,FALSE,ns
Brevundimonas,Group,Tumor,0.631524193631364,0.29318546589744,24,4,0.0424562548160814,0.613195768374912,FALSE,ns
Caulobacter,Group,Tumor,0.2916619797397,0.21722977276256,24,2,0.193079465331869,0.613195768374912,FALSE,ns
Chryseobacterium,Group,Tumor,0.441455818127759,0.360236117435921,24,2,0.233359026801794,0.613195768374912,FALSE,ns
Cloacibacterium,Group,Tumor,-0.43496852535623,0.353926470857547,24,2,0.232063241884963,0.613195768374912,FALSE,ns
Clostridium.III,Group,Tumor,-0.321559466352537,0.24512578002691,24,2,0.203107659700943,0.613195768374912,FALSE,ns
Clostridium.XlVa,Group,Tumor,-0.264458733661873,0.192370814888918,24,2,0.183058004576975,0.613195768374912,FALSE,ns
Delftia,Group,Tumor,-0.435269174873184,0.354218743592966,24,2,0.232124304091777,0.613195768374912,FALSE,ns
Diaphorobacter,Group,Tumor,-0.412367066854761,0.331997413605423,24,2,0.227285760399489,0.613195768374912,FALSE,ns
Dorea,Group,Tumor,-0.425637383526696,0.344862410564403,24,2,0.230141659047638,0.613195768374912,FALSE,ns
Enterococcus,Group,Tumor,-0.285977576088025,0.211987655894403,24,2,0.191049839101552,0.613195768374912,FALSE,ns
Faecalibacterium,Group,Tumor,-0.148313562107035,0.100907509893571,24,3,0.169630162538314,0.613195768374912,FALSE,ns
Hydrogenophilus,Group,Tumor,-1.0363070424468,0.636929911610432,24,3,0.117968902922836,0.613195768374912,FALSE,ns
Lactobacillus,Group,Tumor,-1.17607650983598,0.752063629942871,24,9,0.146158728835558,0.613195768374912,FALSE,ns
Leuconostoc,Group,Tumor,0.670522698916882,0.526024799313787,24,4,0.228684133425392,0.613195768374912,FALSE,ns
Limnohabitans,Group,Tumor,-0.188498163356672,0.128104174011661,24,2,0.155332660234812,0.613195768374912,FALSE,ns
Lysinibacillus,Group,Tumor,-0.377358775078326,0.298228894720664,24,2,0.218990130099139,0.613195768374912,FALSE,ns
Massilia,Group,Tumor,-0.255473627874421,0.184305559243917,24,2,0.179593511686843,0.613195768374912,FALSE,ns
Mesorhizobium,Group,Tumor,-0.465306403216597,0.383484540713502,24,2,0.23787766876613,0.613195768374912,FALSE,ns
Methylibium,Group,Tumor,-0.448509591746867,0.367103751383903,24,2,0.234752050617967,0.613195768374912,FALSE,ns
Methylobacterium,Group,Tumor,-1.16784714632713,0.737679231617659,24,5,0.127661133929446,0.613195768374912,FALSE,ns
Microbacterium,Group,Tumor,-0.327798208738197,0.217863238469621,24,4,0.160585675304383,0.613195768374912,FALSE,ns
Mycobacterium,Group,Tumor,-0.37869543013904,0.299512987012206,24,2,0.219328640020878,0.613195768374912,FALSE,ns
Neisseria,Group,Tumor,-0.702707288567927,0.556778292171026,24,4,0.220130904836801,0.613195768374912,FALSE,ns
Oscillibacter,Group,Tumor,-0.194914711794344,0.133057211444266,24,2,0.157095453229351,0.613195768374912,FALSE,ns
Petrobacter,Group,Tumor,-0.691235568238796,0.417325794251658,24,3,0.111847053521271,0.613195768374912,FALSE,ns
Porphyromonas,Group,Tumor,-0.273343403875817,0.200422880154031,24,2,0.18641274028498,0.613195768374912,FALSE,ns
Pseudoxanthomonas,Group,Tumor,-0.230950193142827,0.162783790217143,24,2,0.16998465627685,0.613195768374912,FALSE,ns
Roseomonas,Group,Tumor,0.177574017238882,0.119991090491522,24,2,0.153080429823688,0.613195768374912,FALSE,ns
Shewanella,Group,Tumor,-0.297629810809516,0.222756611146597,24,2,0.195167204538046,0.613195768374912,FALSE,ns
Sphingomonas,Group,Tumor,2.80701826294451,0.881362466313725,24,7,0.00868562729821702,0.613195768374912,FALSE,ns
Staphylococcus,Group,Tumor,1.43262093917175,0.945465448731815,24,8,0.143944832234754,0.613195768374912,FALSE,ns
Unknown.genus123,Group,Tumor,-0.179990105840837,0.121747605984145,24,2,0.153479784169101,0.613195768374912,FALSE,ns
Unknown.genus476,Group,Tumor,0.251897396441745,0.181335083751243,24,3,0.192273775474239,0.613195768374912,FALSE,ns
Clostridium.IV,Group,Tumor,-0.565222249961254,0.481518457789143,24,2,0.253013327368191,0.629740563011063,FALSE,ns
Clostridium.XI,Group,Tumor,-0.636168000424611,0.551538149856975,24,2,0.261106419941526,0.629740563011063,FALSE,ns
Erwinia,Group,Tumor,0.683792379286897,0.598663215822782,24,2,0.265650752247075,0.629740563011063,FALSE,ns
Sphingobium,Group,Tumor,-0.687859018181378,0.602690852566536,24,2,0.266011099892604,0.629740563011063,FALSE,ns
Anoxybacillus,Group,Tumor,-0.882529612910167,0.795958605463076,24,2,0.279506589132189,0.644558045084072,FALSE,ns
Lysobacter,Group,Tumor,0.137857548745184,0.122230473369122,24,3,0.283383278442135,0.644558045084072,FALSE,ns
Rhodobaca,Group,Tumor,0.154585101372748,0.14129353122056,24,4,0.297302966546735,0.663214309988871,FALSE,ns
Acidovorax,Group,Tumor,0.136872069596877,0.134312195738219,24,21,0.330064927246081,0.677601395117671,FALSE,ns
Enhydrobacter,Group,Tumor,0.745786694300155,0.745786696229897,24,2,0.338800697558836,0.677601395117671,FALSE,ns
Escherichia.Shigella,Group,Tumor,0.485549086347857,0.483496412682736,24,6,0.326178784294404,0.677601395117671,FALSE,ns
Ferruginibacter,Group,Tumor,0.180960283183977,0.18096028117557,24,2,0.338800690740415,0.677601395117671,FALSE,ns
Janthinobacterium,Group,Tumor,0.0207284561641832,0.0207284553888858,24,2,0.338800678089056,0.677601395117671,FALSE,ns
Pseudomonas,Group,Tumor,-1.14324556213939,1.11016650375086,24,14,0.32521725695665,0.677601395117671,FALSE,ns
Acinetobacter,Group,Tumor,0.275142997396339,0.345845969754013,24,22,0.443113968480133,0.723530529267886,FALSE,ns
Agrobacterium,Group,Tumor,0.200944760466809,0.275240650902769,24,12,0.480607145758166,0.723530529267886,FALSE,ns
Alicyclobacillus,Group,Tumor,0.140664234140431,0.189283997894803,24,21,0.465260211411003,0.723530529267886,FALSE,ns
Alistipes,Group,Tumor,-0.134309292137765,0.176549504964926,24,21,0.462804854035912,0.723530529267886,FALSE,ns
Alloiococcus,Group,Tumor,0.465937803770283,0.55555668162622,24,2,0.41066585601252,0.723530529267886,FALSE,ns
Arthrobacter,Group,Tumor,-0.2068917077614,0.235480145949605,24,3,0.389116168464605,0.723530529267886,FALSE,ns
Aurantimonas,Group,Tumor,0.697882625044429,0.785648024288554,24,2,0.383994622028122,0.723530529267886,FALSE,ns
Bacillus,Group,Tumor,-0.606521909809158,0.854797123412955,24,9,0.492749239760026,0.723530529267886,FALSE,ns
Citrobacter,Group,Tumor,0.271250210174292,0.364244332517153,24,2,0.464338680142456,0.723530529267886,FALSE,ns
Corynebacterium,Group,Tumor,0.856765107073354,1.17956697307016,24,12,0.482800893458771,0.723530529267886,FALSE,ns
Devosia,Group,Tumor,-0.610063624277098,0.698386558624844,24,2,0.391808237329587,0.723530529267886,FALSE,ns
Enterobacter,Group,Tumor,-0.464381691396308,0.596960144725234,24,4,0.444907590396165,0.723530529267886,FALSE,ns
Geobacillus,Group,Tumor,-0.232247927935603,0.320708422830281,24,3,0.47659152261979,0.723530529267886,FALSE,ns
Hydrogenophaga,Group,Tumor,-0.37695549884378,0.467771582582157,24,2,0.428952113759157,0.723530529267886,FALSE,ns
Marinomonas,Group,Tumor,-0.250388848619252,0.343969386968718,24,2,0.47432778397312,0.723530529267886,FALSE,ns
Rothia,Group,Tumor,0.388201546460759,0.478841923088277,24,2,0.426216362073758,0.723530529267886,FALSE,ns
Rubrobacter,Group,Tumor,-0.485330814970142,0.520360985396497,24,7,0.371004643040289,0.723530529267886,FALSE,ns
Selenomonas,Group,Tumor,0.317599357702105,0.409501486182101,24,2,0.446257155094077,0.723530529267886,FALSE,ns
Turicibacter,Group,Tumor,-0.2189636463202,0.313572811882819,24,2,0.492313814095167,0.723530529267886,FALSE,ns
Veillonella,Group,Tumor,0.446094984559608,0.535946628155628,24,2,0.414156081531559,0.723530529267886,FALSE,ns
Xanthomonas,Group,Tumor,0.197136432790517,0.273281247582811,24,3,0.478279882763363,0.723530529267886,FALSE,ns
Akkermansia,Group,Tumor,0.127100863525451,0.189791191812911,24,21,0.510025073082641,0.739536355969829,FALSE,ns
Acetobacter,Group,Tumor,0.120623518283198,0.18624014272864,24,21,0.523895737931494,0.74112080000065,FALSE,ns
Altererythrobacter,Group,Tumor,0.18338765214081101,0.279436090254531,24,2,0.518451463785599,0.74112080000065,FALSE,ns
Acidaminococcus,Group,Tumor,0.10484837179036301,0.166397736223423,24,21,0.541492509545257,0.755085742337035,FALSE,ns
Aerococcus,Group,Tumor,0.114140654080506,0.18665634076907,24,21,0.55329558705731,0.755085742337035,FALSE,ns
Weissella,Group,Tumor,0.151454366640095,0.249137930679488,24,2,0.549469470789059,0.755085742337035,FALSE,ns
Alishewanella,Group,Tumor,-0.0820809743543443,0.140280273487561,24,21,0.57027405769412,0.767703608448495,FALSE,ns
Stenotrophomonas,Group,Tumor,0.130197888365842,0.229216114365429,24,2,0.575777706336371,0.767703608448495,FALSE,ns
Peptoniphilus,Group,Tumor,0.111663514927062,0.212057103809167,24,2,0.603759390629401,0.795864651284211,FALSE,ns
Unknown.genus28,Group,Tumor,0.106337410458027,0.207170064185941,24,2,0.612867847142296,0.798794047960745,FALSE,ns
Actinomadura,Group,Tumor,-0.111939912165416,0.220137981825952,24,18,0.621146649832572,0.800589015339759,FALSE,ns
Aequorivita,Group,Tumor,-0.0658584352458984,0.132941820312456,24,21,0.630070222094222,0.803166436955272,FALSE,ns
Agrococcus,Group,Tumor,-0.028255670579481,0.0704213327052718,24,20,0.695929786889191,0.858806971054747,FALSE,ns
Bosea,Group,Tumor,0.0830404059987965,0.204347057226605,24,3,0.692265115271292,0.858806971054747,FALSE,ns
Unknown.genus296,Group,Tumor,0.164370923700491,0.397808536142349,24,3,0.683466286970357,0.858806971054747,FALSE,ns
Agromyces,Group,Tumor,0.0779259437146512,0.20588435574987,24,18,0.7122668962312,0.86813832856356,FALSE,ns
Blautia,Group,Tumor,-0.282216978380286,0.772801503671763,24,3,0.718459306397429,0.86813832856356,FALSE,ns
Afifella,Group,Tumor,0.0597102912728609,0.181947708716723,24,19,0.748942964780064,0.887416097605223,FALSE,ns
Methyloversatilis,Group,Tumor,0.0977713625852654,0.302658113565,24,3,0.749713599700964,0.887416097605223,FALSE,ns
Aggregatibacter,Group,Tumor,-0.0588104811068628,0.202354316279467,24,20,0.774055482691116,0.906974100931005,FALSE,ns
A17,Group,Tumor,0.0300338780322053,0.192569974466157,24,20,0.87888722285836,0.910358577396084,FALSE,ns
Acetivibrio,Group,Tumor,-0.0356998720543906,0.214714906328867,24,18,0.870964028871322,0.910358577396084,FALSE,ns
Acetobacterium,Group,Tumor,0.0561452801118373,0.247012486322312,24,15,0.824361797538615,0.910358577396084,FALSE,ns
Adhaeribacter,Group,Tumor,-0.0285716281927548,0.154123303195305,24,20,0.856303722874564,0.910358577396084,FALSE,ns
Aeribacillus,Group,Tumor,0.0658011557899485,0.255466078444173,24,20,0.799130450189774,0.910358577396084,FALSE,ns
Alcanivorax,Group,Tumor,0.0552721099665542,0.328330602660382,24,17,0.869369033775996,0.910358577396084,FALSE,ns
Algoriphagus,Group,Tumor,0.0388129071057553,0.251933612267479,24,15,0.87896690231346,0.910358577396084,FALSE,ns
Aliidiomarina,Group,Tumor,-0.0411923338189138,0.15517428157118,24,20,0.795565377498448,0.910358577396084,FALSE,ns
Prevotella,Group,Tumor,0.185453007692364,0.817709257590694,24,4,0.822676672892605,0.910358577396084,FALSE,ns
Schlegelella,Group,Tumor,-0.0679595810560822,0.356927997186052,24,3,0.850740629160958,0.910358577396084,FALSE,ns
Streptococcus,Group,Tumor,0.262613938721943,1.30026337319078,24,9,0.841796282821918,0.910358577396084,FALSE,ns
Unknown.genus158,Group,Tumor,0.0297394400378153,0.14046315005113,24,2,0.834271411997016,0.910358577396084,FALSE,ns
Unknown.genus41,Group,Tumor,0.0346646659797378,0.21723692876151,24,4,0.876111482142063,0.910358577396084,FALSE,ns
Actinobacillus,Group,Tumor,-0.112773217872755,0.900694577081676,24,13,0.902618522324758,0.926581845926301,FALSE,ns
Paracoccus,Group,Tumor,-0.0448526657311419,1.14983123014617,24,5,0.969582942498951,0.986593169560337,FALSE,ns
Actinobaculum,Group,Tumor,-0.00340164224222643,0.203670130376851,24,20,0.986825116651723,0.987349352928899,FALSE,ns
Aeromonas,Group,Tumor,0.00395819243317182,0.246814854920165,24,18,0.987349352928899,0.987349352928899,FALSE,ns
