taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Escherichia/Shigella,1.7014073375807315,-1.6593537208906788,0.49619199216109877,0.19609949317168862,3.428929455653801,-8.46179505134103,0.026561690152523333,0.0010688325628113145,0.9827825356433634,0.039546804824018636,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-1.6593537208906788,0.039546804824018636,TRUE,FALSE,TRUE,FALSE,NAT_enriched,ns
Leuconostoc,-1.5816968323719458,2.543281833391051,0.5200672254287532,0.19806176626170097,-3.041331495304218,12.840852030121694,0.09323793742851473,0.006010121982548831,1,0.11118725667715337,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2.543281833391051,0.11118725667715337,FALSE,FALSE,FALSE,FALSE,ns,ns
Rubrobacter,0.4532052524026983,-1.0453877541328307,0.30708921119318955,0.35102502132793534,1.4758097513155137,-2.9781003934651324,0.20181521084443146,0.06282016949568243,1,0.7747820904467501,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.0453877541328307,0.7747820904467501,FALSE,FALSE,FALSE,FALSE,ns,ns
Acinetobacter,-0.20427023082629173,0.42229894895354375,0.38703972650758506,0.5609822545539747,-0.5277758763150855,0.752784861776608,0.6139651127843431,0.4761276109134783,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.42229894895354375,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Actinomyces,1.4038411532824502,-1.3562032990632855,0.6794884485259448,0.8538177854271352,2.0660265179310806,-1.588398979513907,0.17964467524333097,0.47466588480953814,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.3562032990632855,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Aerococcus,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Afipia,0.7487059949860173,-0.7093769830435955,0.7054557788979531,0.9665783926906715,1.061308188807566,-0.7339052770142084,0.34837967215229354,0.5037041886284164,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.7093769830435955,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Arthrobacter,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Bacillus,0.21752486815123814,-0.8540995823125401,0.5327866008006746,0.5754819485649483,0.4082776628097264,-1.4841466086683819,0.6952830290031584,0.2564784479230954,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.8540995823125401,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Bacteroides,1.3111610088134398,-3.034816601362155,0.7637982570007561,1.1955225611865812,1.7166326275239743,-2.5384854287902656,0.3358036933695443,0.21561467190021957,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-3.034816601362155,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Blautia,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Bosea,-0.020949350228988497,0.9080760953809581,0.306890966943326,0.35811132939428925,-0.06826316993832289,2.535736852885613,0.9566096304342405,0.2373685265243185,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.9080760953809581,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Brevundimonas,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Corynebacterium,-0.287037034833776,0.5541920377632549,0.6936501468131129,0.9221258463760383,-0.4138066374706775,0.6009939315129641,0.6877515932384745,0.5696579368965188,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5541920377632549,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Enterobacter,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Faecalibacterium,-0.548109730655206,-2.169651430993709,3.1987197303010544,2.8774492501041022,-0.17135284641009152,-0.7540190086463607,0.8919626262273368,0.5147108998222903,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-2.169651430993709,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Geobacillus,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Hydrogenophilus,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Lactobacillus,-0.4016842423894642,-0.25505441568639176,1.0200360545793707,0.5131212878864264,-0.39379416108492904,-0.49706457655844744,0.7097938723370993,0.668088176614048,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.25505441568639176,1,FALSE,FALSE,FALSE,FALSE,ns,ns
