feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingomonas	Group	Tumor	2.50149703149786	0.788300563352971	24	7	0.00886668611887132	0.328067386398239
Aerococcus	Group	Tumor	1.47231570133351	0.929691780424443	24	3	0.127541824939922	0.61876205277367
Bacteroides	Group	Tumor	-0.476133480215554	0.324453185201398	24	3	0.170243360914695	0.61876205277367
Brevundimonas	Group	Tumor	0.651394015660413	0.298670615993813	24	4	0.0401587558653757	0.61876205277367
Faecalibacterium	Group	Tumor	-0.196227072963562	0.134085530923991	24	3	0.171326324090101	0.61876205277367
Hydrogenophilus	Group	Tumor	-1.08144484722867	0.6668621075503	24	3	0.11911457800996	0.61876205277367
Lactobacillus	Group	Tumor	-1.21561869085384	0.797203460283968	24	9	0.155517814728947	0.61876205277367
Methylobacterium	Group	Tumor	-1.12763596175053	0.643436228939475	24	5	0.0936115176203465	0.61876205277367
Microbacterium	Group	Tumor	-0.413813964462605	0.291875456801662	24	4	0.18395628595974	0.61876205277367
Petrobacter	Group	Tumor	-0.588097435332321	0.34543828686497	24	3	0.102757497849472	0.61876205277367
Staphylococcus	Group	Tumor	1.56670393798566	1.03286950269917	24	8	0.14354445213682	0.61876205277367
Neisseria	Group	Tumor	-0.898415621302907	0.695946369791415	24	4	0.210130503871956	0.647902386938531
Leuconostoc	Group	Tumor	0.670891979168611	0.526693192791075	24	4	0.228997072055213	0.651760897387914
Rhodobaca	Group	Tumor	0.200499440662275	0.175703735221989	24	4	0.27805334272333	0.734855262911658
Arthrobacter	Group	Tumor	-0.29737387867089	0.303095373215563	24	3	0.337199166499557	0.746461398522684
Bacillus	Group	Tumor	-0.63970040591029	0.865972004749935	24	9	0.475551232008505	0.746461398522684
Corynebacterium	Group	Tumor	1.0512553438226	1.18243561216414	24	12	0.392998571126203	0.746461398522684
Enterobacter	Group	Tumor	-0.532589554578176	0.679410022135147	24	4	0.441457493808779	0.746461398522684
Escherichia.Shigella	Group	Tumor	0.339071200025874	0.409577143234359	24	6	0.416642085068592	0.746461398522684
Lysobacter	Group	Tumor	0.236383712787055	0.238991335446754	24	3	0.343877363201423	0.746461398522684
Pseudomonas	Group	Tumor	-0.942711329427863	1.03494944921976	24	14	0.38188750661232	0.746461398522684
Rubrobacter	Group	Tumor	-0.533589725082519	0.533665134406638	24	7	0.338866089922022	0.746461398522684
Unknown.genus476	Group	Tumor	0.0729018355054194	0.100695951952843	24	3	0.48419117742012	0.746461398522684
Xanthomonas	Group	Tumor	0.202352468064026	0.275506603699374	24	3	0.470416582623348	0.746461398522684
Acinetobacter	Group	Tumor	-0.415661613171565	0.818470084261349	24	9	0.621585656007615	0.883076428272774
Blautia	Group	Tumor	-0.345756049659014	0.676318913068252	24	3	0.61428118865782	0.883076428272774
Geobacillus	Group	Tumor	-0.202829657594741	0.433422129360715	24	3	0.644407123334187	0.883076428272774
Bosea	Group	Tumor	0.0729056912095872	0.183636420908538	24	3	0.698953763365068	0.891768594638191
Unknown.genus296	Group	Tumor	0.213353921763172	0.514290607518385	24	3	0.68226867933159	0.891768594638191
Afipia	Group	Tumor	-0.275053582953525	0.934042083425969	24	6	0.773876567359811	0.92365912878429
Prevotella	Group	Tumor	0.279844943654621	0.910813011768904	24	4	0.761544618007021	0.92365912878429
Methyloversatilis	Group	Tumor	0.0755711902221966	0.421668189426801	24	3	0.859405629191652	0.935260700844203
Streptococcus	Group	Tumor	0.250237414998004	1.39649394954794	24	9	0.859428752127105	0.935260700844203
Unknown.genus41	Group	Tumor	0.0455410225706362	0.234619269569658	24	4	0.849630976964136	0.935260700844203
Actinomyces	Group	Tumor	-0.0233635016761025	0.287612346152901	24	4	0.936716149520697	0.990242786636165
Paracoccus	Group	Tumor	0.00415252749299337	1.19488954615133	24	5	0.997289390246343	0.997289390246343
Schlegelella	Group	Tumor	0.001325610180866	0.363593658732731	24	3	0.997123892484856	0.997289390246343
