taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Sphingomonas,0.04315728847228428,0.6651208861963942,0.04379272460937501,0.6264853406447339,0.539244190983184,-0.618603902995801,5.097230714653689,5.337714258214778,7.8966521171963,0.6511843611918497,0.2799479552251729,0.04315728847228428,0.6651208861963942,0.04379272460937501,0.6264853406447339,0.6264853406447339,FALSE,ns
Brevundimonas,0.10583576897897654,0.8126030739976731,0.13006210327148443,0.7781804644872272,7.698070136008539e-5,-0.9500637162883612,1.2217662143407315,3.3094610780036255,6.671372777208983,0.5085751729609032,0.2795839137151287,0.10583576897897654,0.8126030739976731,0.13006210327148443,0.7781804644872272,0.7781804644872272,FALSE,ns
Aerococcus,0.16558948720373112,0.8688436393859733,0.17560577392578133,0.8372206793891059,-0.18567542859093233,-0.9869329168592502,0.8573015570646714,2.3590242002532733,5.522318122554134,0.3933083855144681,0.30598961560254395,0.16558948720373112,0.8688436393859733,0.17560577392578133,0.8372206793891059,0.8372206793891059,FALSE,ns
Chryseobacterium,0.2793470124374389,0.9033275137483763,0.3012046813964845,0.8748037792387463,-0.36485663687223635,-1.0111130568097666,0.45771050142722736,1.6051924174553074,5.25396654658679,0.2710273143538604,0.35807293847608596,0.2793470124374389,0.9033275137483763,0.3012046813964845,0.8748037792387463,0.8748037792387463,FALSE,ns
Erwinia,0.2953278977488087,0.9350468673308701,0.30766677856445324,0.890218510703435,-0.3786164476322966,-0.936095199049503,0.42511148813431365,1.6484733110898349,5.255442485506898,0.29040581196806586,0.3437500244649305,0.2953278977488087,0.9350468673308701,0.30766677856445324,0.890218510703435,0.890218510703435,FALSE,ns
Anaerococcus,0.26045493954610827,0.9390857561752799,0.28628921508789074,0.8968028961666047,-0.4490128986217581,-1.0747622970852744,0.15828553627693864,1.5894567149195193,5.6037580065072214,0.284887495432654,0.35807293847608596,0.26045493954610827,0.9390857561752799,0.28628921508789074,0.8968028961666047,0.8968028961666047,FALSE,ns
Caulobacter,0.28920897536867185,0.9312304428748516,0.2999534606933595,0.9128003723258509,-0.4475672235861401,-0.9618728468575783,0.2496298546121949,1.6383008901276899,5.704662683817419,0.2566197095609503,0.35937502157480067,0.28920897536867185,0.9312304428748516,0.2999534606933595,0.9128003723258509,0.9128003723258509,FALSE,ns
Unknown genus476,0.39873147133581405,0.9551189706992347,0.38795852661132824,0.9270485572565614,-0.39092778650141025,-0.7988397366359408,0.2142834453221445,1.0007968941002394,6.934220718481314,0.14825918752193834,0.4096229000319595,0.39873147133581405,0.9551189706992347,0.38795852661132824,0.9270485572565614,0.9270485572565614,FALSE,ns
Enhydrobacter,0.5319529335344836,0.9393371284711668,0.48433685302734386,0.9278301463407629,-0.46662993394598296,-0.7556236955244771,-0.23047467609047878,0.4670126775488148,5.723764046478622,0.07494848098131474,0.45253576747759533,0.5319529335344836,0.9393371284711668,0.48433685302734386,0.9278301463407629,0.9278301463407629,FALSE,ns
Roseomonas,0.3452513823652168,0.9698252946265895,0.401073455810547,0.9586963108607701,-0.47385380878912997,-0.9023430645859607,0.1361794856254086,1.334017071422978,5.913624248334842,0.19680457886740557,0.38151043440355387,0.3452513823652168,0.9698252946265895,0.401073455810547,0.9586963108607701,0.9586963108607701,FALSE,ns
Rhodobaca,0.5341862922406111,0.9681073614156602,0.5275955200195314,0.9588695828876798,-0.016760301456830717,-0.4677779909887967,0.5064083408607889,0.9301459626200277,6.076250962059937,0.12217689550827487,0.4283854269966482,0.5341862922406111,0.9681073614156602,0.5275955200195314,0.9588695828876798,0.9588695828876798,FALSE,ns
Xanthomonas,0.4351091377338289,0.9783357807668464,0.41884613037109386,0.961873529827784,-0.08685724789758531,-0.7324638084647397,0.47712958970014174,1.1045158620929003,5.765129679057949,0.1807725477750353,0.39843751496678265,0.4351091377338289,0.9783357807668464,0.41884613037109386,0.961873529827784,0.961873529827784,FALSE,ns
Ferruginibacter,0.6603245779251026,0.9789782554272636,0.616954803466797,0.9645003182547432,-0.2966386044241549,-0.41655554648993665,-0.06911691523990537,0.37225309508756954,5.917340556077014,0.06540707061765516,0.46484375499172914,0.6603245779251026,0.9789782554272636,0.616954803466797,0.9645003182547432,0.9645003182547432,FALSE,ns
Lysobacter,0.5182603119083509,0.9805536850468843,0.5187225341796876,0.9657868158249628,-0.29184494341455025,-0.6462749322977688,0.2022925826235884,0.9126641382495038,5.7320777278537065,0.1485038637067069,0.4174252395307946,0.5182603119083509,0.9805536850468843,0.5187225341796876,0.9657868158249628,0.9657868158249628,FALSE,ns
Leuconostoc,0.5040057772173918,0.9772604501040143,0.47745132446289074,0.9690820360940601,0.07586696931131165,-0.2993451808200174,0.43457390280123587,0.9590404197874758,6.1562281612585235,0.14706175112380676,0.4270833438592221,0.5040057772173918,0.9772604501040143,0.47745132446289074,0.9690820360940601,0.9690820360940601,FALSE,ns
Hydrogenophilus,0.26055459454457847,0.9772988088957144,0.38710021972656267,0.9708246866861979,-0.1800211592201837,0.16819191275665712,-0.4663238713223752,-1.1533378870069377,6.488304780512349,-0.16064864233844767,0.40234376434456404,0.26055459454457847,0.9772988088957144,0.38710021972656267,0.9708246866861979,0.9708246866861979,FALSE,ns
Lactobacillus,0.26321905352472236,0.9898409547501572,0.30837631225585954,0.9713490804036459,1.3745250131027467,4.67218094209179,0.7346103434018261,-1.4127659695726686,10.34726045563826,-0.13648447363441626,0.43563069843041197,0.26321905352472236,0.9898409547501572,0.30837631225585954,0.9713490804036459,0.9713490804036459,FALSE,ns
Rothia,0.5599289096104898,0.9919994667508156,0.5547561645507814,0.9732379005068824,-0.261556314674225,-0.6833694704842213,0.10280099445585478,0.7078944802955309,5.381340584594874,0.1250141449657688,0.43953186820537876,0.5599289096104898,0.9919994667508156,0.5547561645507814,0.9732379005068824,0.9732379005068824,FALSE,ns
Janthinobacterium,0.6386170193245231,0.9894488531726474,0.6056976318359376,0.9746536254882813,-0.4405649007455006,-0.6155349898918789,-0.22258159428151192,0.5582102142010479,5.561855724770222,0.08112451233669157,0.46354167184521583,0.6386170193245231,0.9894488531726474,0.6056976318359376,0.9746536254882813,0.9746536254882813,FALSE,ns
Unknown genus28,0.5783085616412694,0.9840449681301751,0.6063079833984376,0.9792249528188554,-0.42721853079186545,-0.7620875357127233,-0.1425745583790805,0.7747146923735801,5.0266488938099245,0.13124719176653651,0.42187501131411387,0.5783085616412694,0.9840449681301751,0.6063079833984376,0.9792249528188554,0.9792249528188554,FALSE,ns
Veillonella,0.6498877891221653,0.9914692904634353,0.6483688354492189,0.9797137790256076,-0.37274609595450237,-0.6231453208922382,-0.08393030667861989,0.6570619837786866,5.799695374704573,0.09792661111607179,0.449218757249406,0.6498877891221653,0.9914692904634353,0.6483688354492189,0.9797137790256076,0.9797137790256076,FALSE,ns
Agromyces,0.5365498297472522,0.9859876132025277,0.5835762023925782,0.98233795166015625,-0.3285327512995533,-0.24111372427457134,-0.4143834307879608,-0.30580582362897424,5.2754951418506755,-0.055293847218954945,0.47265625387485044,0.5365498297472522,0.9859876132025277,0.5835762023925782,0.98233795166015625,0.98233795166015625,FALSE,ns
Unknown genus41,0.6601544153294778,0.993646133183824,0.643657684326172,0.9828472725149631,0.05711389881975215,-0.22063901760236426,0.3766446494999558,0.5166239326919682,5.847238925291697,0.08399495155042223,0.46163849698529236,0.6601544153294778,0.993646133183824,0.643657684326172,0.9828472725149631,0.9828472725149631,FALSE,ns
Devosia,0.7068070320505824,0.9964906213615587,0.6345062255859376,0.985476829892113,-0.3676991518508652,-0.7695435593239344,0.09591915538419116,0.7849490313918679,5.255242914754273,0.12251833447650654,0.4244791775857304,0.7068070320505824,0.9964906213615587,0.6345062255859376,0.985476829892113,0.985476829892113,FALSE,ns
