feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,significant,direction
Aeribacillus,Group,Tumor,-0.196168462349402,0.134039499462868,24,2,0.15746977208091,0.509182480245133,FALSE,ns
Aerococcus,Group,Tumor,1.22163473819993,0.760835374250243,24,3,0.122611778990335,0.509182480245133,FALSE,ns
Aeromonas,Group,Tumor,-0.70526335718273,0.619934038679567,24,2,0.267509769328783,0.509182480245133,FALSE,ns
Agrobacterium,Group,Tumor,-0.286993894230022,0.212923229580787,24,2,0.191415877869043,0.509182480245133,FALSE,ns
Agromyces,Group,Tumor,-0.406323600071706,0.326149291005854,24,2,0.225945460857151,0.509182480245133,FALSE,ns
Alistipes,Group,Tumor,-0.347003277612753,0.269204912297316,24,2,0.210789946057845,0.509182480245133,FALSE,ns
Anaerococcus,Group,Tumor,0.385225786278016,0.305793017439053,24,2,0.220956704953858,0.509182480245133,FALSE,ns
Bacteroides,Group,Tumor,-0.363937007869998,0.246953162202296,24,3,0.16859249947157,0.509182480245133,FALSE,ns
Brevundimonas,Group,Tumor,0.657874203710679,0.309862546278814,24,4,0.0452335566510154,0.509182480245133,FALSE,ns
Caulobacter,Group,Tumor,0.290521832520254,0.216176540852705,24,2,0.19268003804426,0.509182480245133,FALSE,ns
Chryseobacterium,Group,Tumor,0.432189835281745,0.351225851584347,24,2,0.23149825384701,0.509182480245133,FALSE,ns
Cloacibacterium,Group,Tumor,-0.456044231789692,0.374447220789432,24,2,0.236158494498006,0.509182480245133,FALSE,ns
Clostridium.III,Group,Tumor,-0.313693497685641,0.237739235811799,24,2,0.200574719037028,0.509182480245133,FALSE,ns
Clostridium.IV,Group,Tumor,-0.507439872317789,0.424717487516741,24,2,0.244898806977479,0.509182480245133,FALSE,ns
Clostridium.XI,Group,Tumor,-0.57889966404633,0.494996820002318,24,2,0.254716668759226,0.509182480245133,FALSE,ns
Clostridium.XlVa,Group,Tumor,-0.209313188205612,0.144591087547611,24,2,0.161824178730423,0.509182480245133,FALSE,ns
Delftia,Group,Tumor,-0.435588285827298,0.35452898294929,24,2,0.23218843389673,0.509182480245133,FALSE,ns
Diaphorobacter,Group,Tumor,-0.40406785596502,0.323968307821844,24,2,0.225422439025473,0.509182480245133,FALSE,ns
Dorea,Group,Tumor,-0.478047165296104,0.395933000622183,24,2,0.24010158308947,0.509182480245133,FALSE,ns
Enterococcus,Group,Tumor,-0.25613282383816,0.184894386785037,24,2,0.179849401142464,0.509182480245133,FALSE,ns
Erwinia,Group,Tumor,0.683448644903957,0.598322801124348,24,2,0.265620520604914,0.509182480245133,FALSE,ns
Faecalibacterium,Group,Tumor,-0.190971578720896,0.129998283113793,24,3,0.169833878153985,0.509182480245133,FALSE,ns
Hydrogenophilus,Group,Tumor,-1.04579089204874,0.642991552616983,24,3,0.118096039743318,0.509182480245133,FALSE,ns
Lactobacillus,Group,Tumor,-1.14183623343063,0.769396095035475,24,9,0.165870532940904,0.509182480245133,FALSE,ns
Leuconostoc,Group,Tumor,0.7099554606162,0.552357362382166,24,4,0.225082848295978,0.509182480245133,FALSE,ns
Limnohabitans,Group,Tumor,-0.176065980854427,0.118906465817567,24,2,0.152866752444101,0.509182480245133,FALSE,ns
Lysinibacillus,Group,Tumor,-0.399403908047155,0.31946221144706,24,2,0.224348093376707,0.509182480245133,FALSE,ns
Lysobacter,Group,Tumor,0.172894829742371,0.136783687052461,24,3,0.232357938653713,0.509182480245133,FALSE,ns
Massilia,Group,Tumor,-0.250092990903274,0.179517592440736,24,2,0.17749584358945,0.509182480245133,FALSE,ns
Mesorhizobium,Group,Tumor,-0.47704944542149,0.394957498630617,24,2,0.239929634429589,0.509182480245133,FALSE,ns
Methylibium,Group,Tumor,-0.462657955398723,0.380899291927585,24,2,0.237377791089202,0.509182480245133,FALSE,ns
Methylobacterium,Group,Tumor,-1.14110463392189,0.726475573884363,24,5,0.130515155913546,0.509182480245133,FALSE,ns
Microbacterium,Group,Tumor,-0.35159184292299,0.262882963069587,24,4,0.208073844667809,0.509182480245133,FALSE,ns
Mycobacterium,Group,Tumor,-0.381193323063383,0.301913873025396,24,2,0.219959525521588,0.509182480245133,FALSE,ns
Neisseria,Group,Tumor,-0.735476454561777,0.581528845364599,24,4,0.219202456151475,0.509182480245133,FALSE,ns
Oscillibacter,Group,Tumor,-0.251026911350554,0.180346246882275,24,2,0.177860969595197,0.509182480245133,FALSE,ns
Petrobacter,Group,Tumor,-0.674345945806529,0.401694215349212,24,3,0.10734926019343,0.509182480245133,FALSE,ns
Porphyromonas,Group,Tumor,-0.26224712146956,0.190377974193279,24,2,0.182208896262687,0.509182480245133,FALSE,ns
Pseudoxanthomonas,Group,Tumor,-0.248925275404046,0.17848295970188,24,2,0.177038804983636,0.509182480245133,FALSE,ns
Rhodobaca,Group,Tumor,0.181984594224393,0.157348964353574,24,4,0.271949733767287,0.509182480245133,FALSE,ns
Roseomonas,Group,Tumor,0.200788827461196,0.137697525881129,24,2,0.158921348955769,0.509182480245133,FALSE,ns
Shewanella,Group,Tumor,-0.299711134233967,0.224689441362636,24,2,0.195885196725977,0.509182480245133,FALSE,ns
